Counties (Location),FormattedDate,Latitude,Longitude,Started (Date),Wildfire_Probability,AcresBurned,County,Latitude,Longitude,Stn Id,Precip (in),precip30 (in),precip60 (in),precip90 (in),Max Air Temp (F),Min Air Temp (F),Avg Air Temp (F),Max Rel Hum (%),Min Rel Hum (%),Avg Rel Hum (%),
Amador,6/13/2013,38.27783,-120.966016,2013-06-13T11:54:00Z,,96,Amador,38.508333,-120.79972,227,0,0.11,0.3,2.62,79.8,43.5,61.7,73,16,40,
Riverside,6/14/2013,34.001745,-117.302057,2013-06-14T13:47:00Z,,40,Riverside,33.964942,-117.33698,44,0,0,0.25,0.25,84.9,56.6,67.7,83,34,60,
Madera,6/16/2013,37.015575,-119.78106,2013-06-16T18:17:00Z,,482,Madera,37.02,-120.15,188,0,0,0.06,0.38,91.9,52.1,73.1,80,17,38,
Mariposa,6/16/2013,37.58202,-119.91071,2013-06-16T14:12:00Z,,1708,Merced,37.314139,-120.3867,148,0,0.11,0.13,1.1,89.3,54,73.6,75,20,38,Keep?
Fresno,6/17/2013,37.03087,-119.463757,2013-06-17T14:41:00Z,,46,Fresno,36.820833,-119.74231,80,0,0,0.07,0.56,88.7,65.5,80.1,60,21,32,
Solano,6/18/2013,38.08744,-122.13802,2013-06-18T15:18:00Z,,124,Solano,38.278056,-121.74111,212,0,0.02,0.13,1.11,75.9,53.7,63.3,85,35,57,
Lake,6/20/2013,38.98058,-122.81796,2013-06-20T14:29:00Z,,25,Mendocino,39.006747,-123.08012,85,0,0.03,0.11,1.22,77.7,44.3,60.3,89,22,49,Keep?
Fresno,6/25/2013,36.7218,-119.2248,2013-06-25T13:36:00Z,,150,Fresno,36.721083,-119.38903,142,0,0.9,1.28,1.49,90.8,64.3,78.2,73,29,45,
San Bernardino,6/28/2013,34.071556,-117.048397,2013-06-28T14:30:00Z,,534,San Bernardino,34.237419,-116.86571,199,0,0,0.64,0.64,85.7,46.1,66.5,71,16,32,
Monterey,6/29/2013,36.1531,-120.8973,2013-06-29T14:09:00Z,,105,Monterey,36.121083,-121.08457,113,0,0.07,0.15,0.28,100.6,54.3,77,85,16,39,
Contra Costa,7/1/2013,37.96866,-121.91453,2013-07-01T15:41:00Z,,492,Contra Costa,38.015372,-122.02028,170,0,0,0,0.49,98.9,,86.8,85,0,37,
Contra Costa,7/1/2013,39.90465,-121.74367,2013-07-01T13:19:00Z,,274,Contra Costa,38.015372,-122.02028,170,0,0,0,0.49,98.9,,86.8,85,0,37,
Modoc,7/3/2013,41.2415,-121.035,2013-07-03T22:56:00Z,,502,Modoc,41.438214,-120.48031,90,0,0.31,1.68,2.45,93.1,59.8,77.2,79,26,47,
