Counties (Location),FormattedDate,Latitude,Longitude,Started (Date),CountyIds (might not need this one),Wildfire_Probability,AcresBurned,,,,Extinguished,,,,,,,
Los Angeles,6/8/2013,34.585595,-118.423176,2013-06-08T10:16:00Z,19,,30274,,,,2013-06-08T13:25:00Z,,,,2013-06-08,2013,6,8
Alameda,5/30/2013,37.775057,-121.737213,2013-05-30T15:28:00Z,1,,240,,,,2013-06-08T18:30:00Z,,,,2013-05-30,2013,5,30
Riverside,6/8/2013,33.96936,-117.1265,2013-06-08T15:37:00Z,33,,42,,,,2013-06-08T19:00:00Z,,,,2013-06-08,2013,6,8
Riverside,6/9/2013,33.99647,-116.84137,2013-06-09T12:30:00Z,33,,0,,,,2013-06-09T16:45:00Z,,,,2013-06-09,2013,6,9
Placer,6/12/2013,38.729297,-121.380862,2013-06-12T16:43:00Z,31,,237,,,,2013-06-13T09:45:00Z,,,,2013-06-12,2013,6,12
Fresno,6/13/2013,36.772425,-119.628389,2013-06-13T11:28:00Z,10,,108,,,,2013-06-13T14:15:00Z,,,,2013-06-13,2013,6,13
Amador,6/13/2013,38.27783,-120.966016,2013-06-13T11:54:00Z,3,,96,,,,2013-06-13T21:30:00Z,,,,2013-06-13,2013,6,13
Fresno,6/13/2013,36.763367,-119.558244,2013-06-13T15:54:00Z,10,,35,,,,2013-06-13T21:30:00Z,,,,2013-06-13,2013,6,13
Madera,6/10/2013,37.169379,-119.75636,2013-06-10T00:46:00Z,20,,75,,,,2013-06-14T15:45:00Z,,,,2013-06-10,2013,6,10
Sonoma,6/10/2013,38.4229,-122.0437,2013-06-10T00:46:00Z,"49,48,17,6",,28,,,,2013-06-14T15:45:00Z,,,,2013-06-10,2013,6,10
Solano,6/10/2013,38.4229,-122.0437,2013-06-10T00:46:00Z,"49,48,17,6",,28,,,,2013-06-14T15:45:00Z,,,,2013-06-10,2013,6,10
Lake,6/10/2013,38.4229,-122.0437,2013-06-10T00:46:00Z,"49,48,17,6",,28,,,,2013-06-14T15:45:00Z,,,,2013-06-10,2013,6,10
Colusa,6/12/2013,38.4229,-122.0437,2013-06-12T16:40:00Z,"49,48,17,6",,28,,,,2013-06-14T16:30:00Z,,,,2013-06-12,2013,6,12
Riverside,6/14/2013,34.001745,-117.302057,2013-06-14T13:47:00Z,33,,40,,,,2013-06-15T08:00:00Z,,,,2013-06-14,2013,6,14
Glenn,6/12/2013,0,0,2013-06-12T15:17:00Z,11,,226,,,,2013-06-17T09:00:00Z,,,,2013-06-12,2013,6,12
Madera,6/16/2013,37.015575,-119.78106,2013-06-16T18:17:00Z,20,,482,,,,2013-06-18T19:30:00Z,,,,2013-06-16,2013,6,16
Solano,6/18/2013,38.08744,-122.13802,2013-06-18T15:18:00Z,48,,124,,,,2013-06-18T22:30:00Z,,,,2013-06-18,2013,6,18
Fresno,6/17/2013,37.03087,-119.463757,2013-06-17T14:41:00Z,10,,46,,,,2013-06-19T08:45:00Z,,,,2013-06-17,2013,6,17
Lake,6/20/2013,38.98058,-122.81796,2013-06-20T14:29:00Z,17,,25,,,,2013-06-20T13:15:00Z,,,,2013-06-20,2013,6,20
Fresno,6/25/2013,36.7218,-119.2248,2013-06-25T13:36:00Z,10,,150,,,,2013-06-25T17:15:00Z,,,,2013-06-25,2013,6,25
Mariposa,6/16/2013,37.58202,-119.91071,2013-06-16T14:12:00Z,22,,1708,,,,2013-06-26T11:15:00Z,,,,2013-06-16,2013,6,16
Monterey,6/29/2013,36.1531,-120.8973,2013-06-29T14:09:00Z,27,,105,,,,2013-06-29T18:30:00Z,,,,2013-06-29,2013,6,29
San Bernardino,6/28/2013,34.071556,-117.048397,2013-06-28T14:30:00Z,36,,534,,,,2013-07-01T06:00:00Z,,,,2013-06-28,2013,6,28
Contra Costa,7/1/2013,37.96866,-121.91453,2013-07-01T15:41:00Z,7,,492,,,,2013-07-01T18:30:00Z,,,,2013-07-01,2013,7,1
Contra Costa,7/1/2013,39.90465,-121.74367,2013-07-01T13:19:00Z,7,,274,,,,2013-07-01T18:40:00Z,,,,2013-07-01,2013,7,1
Tehama,7/4/2013,40.012398,-122.079871,2013-07-04T07:30:00Z,52,,200,,,,2013-07-04T10:30:00Z,,,,2013-07-04,2013,7,4
Alameda,7/4/2013,37.7393,-121.5869,2013-07-04T10:00:00Z,1,,50,,,,2013-07-04T11:30:00Z,,,,2013-07-04,2013,7,4
Modoc,7/3/2013,41.2415,-121.035,2013-07-03T22:56:00Z,25,,502,,,,2013-07-05T18:30:00Z,,,,2013-07-03,2013,7,3
Alameda,7/6/2013,37.74241,-121.86216,2013-07-06T13:09:00Z,1,,38,,,,2013-07-06T14:30:00Z,,,,2013-07-06,2013,7,6
San Luis Obispo,7/7/2013,35.62743,-120.83417,2013-07-07T13:16:00Z,40,,85,,,,2013-07-07T22:00:00Z,,,,2013-07-07,2013,7,7
Yuba,7/8/2013,39.206,-121.31634,2013-07-08T09:59:00Z,58,,73,,,,2013-07-08T17:30:00Z,,,,2013-07-08,2013,7,8
Shasta,7/9/2013,40.373,-122.7338,2013-07-09T11:59:00Z,45,,43,,,,2013-07-09T15:00:00Z,,,,2013-07-09,2013,7,9
El Dorado,7/8/2013,38.774,-120.298,2013-07-08T12:45:00Z,9,,572,,,,2013-07-11T18:30:00Z,,,,2013-07-08,2013,7,8
Santa Clara,7/12/2013,37.1438,-121.7804,2013-07-12T13:09:00Z,43,,50,,,,2013-07-12T17:45:00Z,,,,2013-07-12,2013,7,12
Stanislaus,7/12/2013,37.436,-121.1955,2013-07-12T15:35:00Z,50,,150,,,,2013-07-13T21:45:00Z,,,,2013-07-12,2013,7,12
San Diego,7/6/2013,32.95435,-116.47381,2013-07-06T12:55:00Z,37,,7055,,,,2013-07-15T06:15:00Z,,,,2013-07-06,2013,7,6
Monterey,7/16/2013,0,0,2013-07-16T17:48:00Z,27,,213,,,,2013-07-17T07:45:00Z,,,,2013-07-16,2013,7,16
Riverside,7/17/2013,33.990128,-117.164997,2013-07-17T13:23:00Z,33,,150,,,,2013-07-17T19:30:00Z,,,,2013-07-17,2013,7,17
Tehama,7/19/2013,39.961309,-122.330879,2013-07-19T13:32:00Z,52,,195,,,,2013-07-19T15:00:00Z,,,,2013-07-19,2013,7,19
El Dorado,7/19/2013,38.63987,-121.08438,2013-07-19T14:12:00Z,"9,34",,163,,,,2013-07-19T17:15:00Z,,,,2013-07-19,2013,7,19
Sacramento,7/19/2013,38.63987,-121.08438,2013-07-19T14:12:00Z,"9,34",,163,,,,2013-07-19T17:15:00Z,,,,2013-07-19,2013,7,19
Riverside,7/19/2013,33.94528,-117.09306,2013-07-19T17:31:00Z,33,,15,,,,2013-07-19T19:30:00Z,,,,2013-07-19,2013,7,19
Riverside,7/19/2013,33.9634,-117.2508,2013-07-19T16:21:00Z,33,,40,,,,2013-07-20T19:30:00Z,,,,2013-07-19,2013,7,19
Kern,7/19/2013,34.882,-118.9194,2013-07-19T12:00:00Z,15,,712,,,,2013-07-22T18:45:00Z,,,,2013-07-19,2013,7,19
Mendocino,7/22/2013,38.980846,-123.067671,2013-07-22T12:34:00Z,23,,45,,,,2013-07-23T15:10:00Z,,,,2013-07-22,2013,7,22
Calaveras,7/23/2013,37.965364,-120.696362,2013-07-23T13:29:00Z,5,,31,,,,2013-07-23T16:00:00Z,,,,2013-07-23,2013,7,23
Kern,7/23/2013,34.90327,-118.93388,2013-07-23T09:15:00Z,15,,612,,,,2013-07-25T18:30:00Z,,,,2013-07-23,2013,7,23
Sonoma,7/26/2013,38.17693,-122.51253,2013-07-26T13:45:00Z,49,,158,,,,2013-07-26T17:45:00Z,,,,2013-07-26,2013,7,26
San Bernardino,7/25/2013,34.316,-117.352,2013-07-25T15:09:00Z,36,,75,,,,2013-07-26T18:15:00Z,,,,2013-07-25,2013,7,25
San Diego,7/28/2013,32.612773,-116.707335,2013-07-28T09:43:00Z,37,,25,,,,2013-07-28T17:50:00Z,,,,2013-07-28,2013,7,28
Riverside,7/15/2013,33.7095,-116.72885,2013-07-15T13:43:00Z,33,,27531,,,,2013-07-30T18:00:00Z,,,,2013-07-15,2013,7,15
Siskiyou,7/31/2013,0,0,2013-07-31T15:25:00Z,47,,40,,,,2013-07-31T19:25:00Z,,,,2013-07-31,2013,7,31
Humboldt,8/3/2013,41.333,-123.376,2013-08-03T08:00:00Z,12,,0,,,,2013-08-03T15:00:00Z,,,,2013-08-03,2013,8,3
Butte,8/1/2013,39.6612,-121.50354,2013-08-01T16:01:00Z,4,,92,,,,2013-08-04T14:45:00Z,,,,2013-08-01,2013,8,1
Riverside,8/4/2013,33.91027,-116.99895,2013-08-04T16:29:00Z,33,,60,,,,2013-08-04T18:00:00Z,,,,2013-08-04,2013,8,4
Shasta,8/4/2013,0,0,2013-08-04T18:00:00Z,45,,34,,,,2013-08-05T08:17:00Z,,,,2013-08-04,2013,8,4
Lake,8/7/2013,39.1591,-122.5906,2013-08-07T12:35:00Z,17,,38,,,,2013-08-07T18:30:00Z,,,,2013-08-07,2013,8,7
Riverside,8/6/2013,38.838,-116.61,2013-08-06T13:39:00Z,33,,60,,,,2013-08-08T09:00:00Z,,,,2013-08-06,2013,8,6
Riverside,8/5/2013,33.62236,-117.40288,2013-08-05T10:10:00Z,"33,",,1383,,,,2013-08-09T18:45:00Z,,,,2013-08-05,2013,8,5
Los Angeles,8/9/2013,0,0,2013-08-09T17:15:00Z,19,,100,,,,2013-08-11T19:15:00Z,,,,2013-08-09,2013,8,9
Riverside,8/9/2013,33.86157,-116.90427,2013-08-09T15:51:00Z,33,,20292,,,,2013-08-12T09:30:00Z,,,,2013-08-09,2013,8,9
Humboldt,8/10/2013,41.035,-123.488,2013-08-10T11:40:00Z,12,,12503,,,,2013-08-12T12:00:00Z,,,,2013-08-10,2013,8,10
Lassen,8/7/2013,40.88886,-120.958126,2013-08-07T14:05:00Z,18,,97,,,,2013-08-12T18:00:00Z,,,,2013-08-07,2013,8,7
San Bernardino,8/8/2013,34.35,-117.62,2013-08-08T12:15:00Z,36,,243,,,,2013-08-13T23:45:00Z,,,,2013-08-08,2013,8,8
Tuolumne,8/5/2013,38.25108,-120.02778,2013-08-05T06:00:00Z,55,,1070,,,,2013-08-14T08:30:00Z,,,,2013-08-05,2013,8,5
Shasta,8/14/2013,40.473356,-122.48259,2013-08-14T15:37:00Z,45,,27,,,,2013-08-14T20:35:00Z,,,,2013-08-14,2013,8,14
Siskiyou,8/15/2013,41.923323,-122.578393,2013-08-15T14:40:00Z,47,,50,,,,2013-08-15T17:00:00Z,,,,2013-08-15,2013,8,15
El Dorado,8/16/2013,38.682378,-120.839075,2013-08-16T13:55:00Z,9,,116,,,,2013-08-16T17:55:00Z,,,,2013-08-16,2013,8,16
Riverside,8/16/2013,33.570291,-116.10815,2013-08-16T13:31:00Z,33,,40,,,,2013-08-16T21:00:00Z,,,,2013-08-16,2013,8,16
San Bernardino,8/16/2013,34.287,-117.451,2013-08-16T17:57:00Z,36,,110,,,,2013-08-18T18:30:00Z,,,,2013-08-16,2013,8,16
Lake,8/17/2013,39.013682,-122.491894,2013-08-17T17:25:00Z,17,,70,,,,2013-08-18T20:55:00Z,,,,2013-08-17,2013,8,17
Calaveras,8/17/2013,38.06231,-120.45233,2013-08-17T10:11:00Z,5,,46,,,,2013-08-19T07:10:00Z,,,,2013-08-17,2013,8,17
San Bernardino,8/20/2013,34.302,-117.598,2013-08-20T13:32:00Z,36,,413,,,,2013-08-20T13:32:00Z,,,,2013-08-20,2013,8,20
Butte,8/16/2013,39.446268,-121.38236,2013-08-16T16:37:00Z,4,,2462,,,,2013-08-22T18:00:00Z,,,,2013-08-16,2013,8,16
Shasta,8/19/2013,40.5445,-121.3754,2013-08-19T17:48:00Z,45,,196,,,,2013-08-23T19:15:00Z,,,,2013-08-19,2013,8,19
Kern,8/24/2013,35.707,-118.588,2013-08-24T14:54:00Z,15,,794,,,,2013-08-24T11:45:00Z,,,,2013-08-24,2013,8,24
El Dorado,8/18/2013,38.89555,-120.84716,2013-08-18T23:12:00Z,9,,38,,,,2013-08-24T13:45:00Z,,,,2013-08-18,2013,8,18
Plumas,8/18/2013,40.00842,-120.764666,2013-08-18T18:30:00Z,32,,513,,,,2013-08-25T13:15:00Z,,,,2013-08-18,2013,8,18
Tehama,8/23/2013,40.04263,-121.85397,2013-08-23T14:15:00Z,52,,11429,,,,2013-08-29T16:45:00Z,,,,2013-08-23,2013,8,23
