Counties (Location),FormattedDate,Latitude,Longitude,Started (Date),CountyIds (might not need this one),Wildfire_Probability,AcresBurned,,,,Extinguished,,,,,,,
Lake,7/24/2017,39.42604,-123.03344,2017-07-24T12:00:00Z,17,,58,,,,2018-01-09T12:05:00Z,,,,2017-07-24,2017,7,24
Tulare,7/24/2017,36.64404,-118.99944,2017-07-24T14:43:00Z,54,,58,,,,2018-01-09T12:05:00Z,,,,2017-07-24,2017,7,24
San Luis Obispo,7/24/2017,35.346,-120.62825,2017-07-24T14:56:00Z,40,,58,,,,2018-01-09T12:05:00Z,,,,2017-07-24,2017,7,24
Tehama,7/25/2017,40.1583,-122.3209,2017-07-25T12:45:00Z,52,,57,,,,2018-01-09T12:05:00Z,,,,2017-07-25,2017,7,25
Fresno,7/26/2017,36.81476,-119.51592,2017-07-26T14:45:00Z,10,,57,,,,2018-01-09T12:06:00Z,,,,2017-07-26,2017,7,26
Siskiyou,7/26/2017,41.93006,-122.36545,2017-07-26T13:58:00Z,47,,56,,,,2018-01-09T12:06:00Z,,,,2017-07-26,2017,7,26
Solano,7/27/2017,38.4446,-122.0041,2017-07-27T14:49:00Z,48,,55,,,,2018-01-09T12:06:00Z,,,,2017-07-27,2017,7,27
Siskiyou,7/25/2017,41.99483,-121.90077,2017-07-25T14:13:00Z,47,,55,,,,2018-01-09T12:06:00Z,,,,2017-07-25,2017,7,25
Los Angeles,7/26/2017,34.03941,-118.58624,2017-07-26T18:00:00Z,19,,55,,,,2018-01-09T12:07:00Z,,,,2017-07-26,2017,7,26
Siskiyou,7/28/2017,41.222,-122.292,2017-07-28T15:25:00Z,47,,54,,,,2018-01-09T12:07:00Z,,,,2017-07-28,2017,7,28
Siskiyou,7/28/2017,41.222,-122.27499,2017-07-28T18:11:00Z,47,,54,,,,2018-01-09T12:07:00Z,,,,2017-07-28,2017,7,28
Santa Clara,7/28/2017,37.33454,-121.76323,2017-07-28T13:24:00Z,43,,54,,,,2018-01-09T12:07:00Z,,,,2017-07-28,2017,7,28
Santa Clara,7/26/2017,37.44485,-121.84108,2017-07-26T23:19:00Z,43,,51,,,,2018-01-09T12:07:00Z,,,,2017-07-26,2017,7,26
Kern,7/29/2017,35.21556,-118.56578,2017-07-29T18:55:00Z,15,,50,,,,2018-01-09T12:08:00Z,,,,2017-07-29,2017,7,29
Riverside,7/29/2017,33.8826,-117.00589,2017-07-29T13:50:00Z,33,,50,,,,2018-01-09T12:09:00Z,,,,2017-07-29,2017,7,29
Los Angeles,7/29/2017,34.22551,-118.05545,2017-07-29T16:33:00Z,19,,50,,,,2018-01-09T12:12:00Z,,,,2017-07-29,2017,7,29
San Mateo,7/29/2017,37.41591,-122.3001,2017-07-29T17:29:00Z,41,,50,,,,2018-01-09T12:12:00Z,,,,2017-07-29,2017,7,29
Kern,7/30/2017,35.70639,-118.47307,2017-07-30T16:17:00Z,15,,50,,,,2018-01-09T12:14:00Z,,,,2017-07-30,2017,7,30
Santa Barbara,7/30/2017,34.72379,-120.13249,2017-07-30T01:45:00Z,42,,50,,,,2018-01-09T12:14:00Z,,,,2017-07-30,2017,7,30
Yuba,7/30/2017,39.06308,-121.303,2017-07-30T16:28:00Z,58,,50,,,,2018-01-09T12:14:00Z,,,,2017-07-30,2017,7,30
Ventura,7/31/2017,34.20599,-118.98603,2017-07-31T13:44:00Z,56,,50,,,,2018-01-09T12:15:00Z,,,,2017-07-31,2017,7,31
Riverside,7/30/2017,33.87739,-117.16215,2017-07-30T17:43:00Z,33,,50,,,,2018-01-09T12:15:00Z,,,,2017-07-30,2017,7,30
San Diego,7/31/2017,33.23281,-117.29509,2017-07-31T14:22:00Z,37,,50,,,,2018-01-09T12:15:00Z,,,,2017-07-31,2017,7,31
Madera,7/31/2017,36.94652,-120.90462,2017-07-31T23:17:00Z,20,,48,,,,2018-01-09T12:15:00Z,,,,2017-07-31,2017,7,31
Riverside,8/1/2017,33.58577,-116.07429,2017-08-01T08:45:00Z,33,,48,,,,2018-01-09T12:16:00Z,,,,2017-08-01,2017,8,1
San Benito,7/31/2017,36.38109,-121.00391,2017-07-31T14:44:00Z,35,,47,,,,2018-01-09T12:16:00Z,,,,2017-07-31,2017,7,31
San Luis Obispo,8/2/2017,35.06472,-120.5634,2017-08-02T11:13:00Z,40,,47,,,,2018-01-09T12:16:00Z,,,,2017-08-02,2017,8,2
Riverside,8/1/2017,33.6444,-117.3968,2017-08-01T16:33:00Z,33,,46,,,,2018-01-09T12:16:00Z,,,,2017-08-01,2017,8,1
San Bernardino,8/1/2017,34.149,-117.189,2017-08-01T10:23:00Z,36,,46,,,,2018-01-09T12:16:00Z,,,,2017-08-01,2017,8,1
Siskiyou,8/2/2017,41.8721,-122.4571,2017-08-02T18:00:00Z,47,,46,,,,2018-01-09T12:17:00Z,,,,2017-08-02,2017,8,2
Riverside,8/2/2017,33.9885,-117.38417,2017-08-02T10:15:00Z,33,,45,,,,2018-01-09T12:17:00Z,,,,2017-08-02,2017,8,2
San Luis Obispo,8/3/2017,35.28738,-120.44448,2017-08-03T11:58:00Z,40,,45,,,,2018-01-09T12:17:00Z,,,,2017-08-03,2017,8,3
Shasta,8/2/2017,40.48712,-121.85645,2017-08-02T10:33:00Z,45,,45,,,,2018-01-09T12:17:00Z,,,,2017-08-02,2017,8,2
Alameda,8/2/2017,37.56181,-121.56425,2017-08-02T08:30:00Z,1,,44,,,,2018-01-09T12:17:00Z,,,,2017-08-02,2017,8,2
Tehama,8/3/2017,39.81517,-122.28165,2017-08-03T14:00:00Z,52,,43,,,,2018-01-09T12:18:00Z,,,,2017-08-03,2017,8,3
Monterey,8/3/2017,36.17297,-120.87609,2017-08-03T15:35:00Z,27,,43,,,,2018-01-09T12:18:00Z,,,,2017-08-03,2017,8,3
Monterey,8/3/2017,35.96275,-121.08753,2017-08-03T16:41:00Z,27,,42,,,,2018-01-09T12:18:00Z,,,,2017-08-03,2017,8,3
Tehama,8/3/2017,40.10282,-122.27379,2017-08-03T16:21:00Z,52,,42,,,,2018-01-09T12:18:00Z,,,,2017-08-03,2017,8,3
Modoc,8/4/2017,41.38247,-120.53443,2017-08-04T14:25:00Z,25,,42,,,,2018-01-09T12:19:00Z,,,,2017-08-04,2017,8,4
Siskiyou,8/5/2017,41.99279,-122.9401,2017-08-05T13:16:00Z,47,,41,,,,2018-01-09T12:19:00Z,,,,2017-08-05,2017,8,5
Los Angeles,8/6/2017,34.10446,-118.70294,2017-08-06T15:32:00Z,19,,41,,,,2018-01-09T12:20:00Z,,,,2017-08-06,2017,8,6
Kern,8/6/2017,35.05076,-118.90004,2017-08-06T15:29:00Z,15,,41,,,,2018-01-09T12:20:00Z,,,,2017-08-06,2017,8,6
Riverside,8/6/2017,33.96514,-117.4764,2017-08-06T19:52:00Z,33,,40,,,,2018-01-09T12:21:00Z,,,,2017-08-06,2017,8,6
Riverside,8/7/2017,33.90327,-116.50151,2017-08-07T14:14:00Z,33,,40,,,,2018-01-09T12:23:00Z,,,,2017-08-07,2017,8,7
San Bernardino,8/7/2017,34.13534,-117.4982,2017-08-07T17:45:00Z,36,,40,,,,2018-01-09T12:26:00Z,,,,2017-08-07,2017,8,7
Shasta,8/7/2017,40.70627,-122.24199,2017-08-07T22:30:00Z,45,,40,,,,2018-01-09T12:27:00Z,,,,2017-08-07,2017,8,7
Kern,8/7/2017,35.59302,-118.46734,2017-08-07T18:08:00Z,15,,40,,,,2018-01-09T12:27:00Z,,,,2017-08-07,2017,8,7
Del Norte,8/8/2017,41.98128,-124.01168,2017-08-08T16:40:00Z,8,,40,,,,2018-01-09T12:28:00Z,,,,2017-08-08,2017,8,8
Humboldt,8/10/2017,41.02705,-123.63721,2017-08-10T14:32:00Z,12,,40,,,,2018-01-09T12:31:00Z,,,,2017-08-10,2017,8,10
Tehama,8/10/2017,40.29831,-122.70449,2017-08-10T17:24:00Z,52,,40,,,,2018-01-09T12:31:00Z,,,,2017-08-10,2017,8,10
Lake,8/11/2017,38.86056,-122.62382,2017-08-11T12:57:00Z,17,,40,,,,2018-01-09T12:35:00Z,,,,2017-08-11,2017,8,11
Monterey,8/11/2017,36.66684,-121.74826,2017-08-11T16:06:00Z,27,,40,,,,2018-01-09T12:36:00Z,,,,2017-08-11,2017,8,11
Yuba,8/13/2017,39.06522,-121.3519,2017-08-13T16:10:00Z,58,,39,,,,2018-01-09T12:38:00Z,,,,2017-08-13,2017,8,13
Solano,8/13/2017,38.07481,-122.23004,2017-08-13T12:41:00Z,48,,39,,,,2018-01-09T12:38:00Z,,,,2017-08-13,2017,8,13
Marin,8/13/2017,37.9775,-122.65749,2017-08-13T13:34:00Z,21,,38,,,,2018-01-09T12:38:00Z,,,,2017-08-13,2017,8,13
Tuolumne,8/14/2017,37.85137,-120.45268,2017-08-14T14:28:00Z,55,,38,,,,2018-01-09T12:39:00Z,,,,2017-08-14,2017,8,14
Shasta,8/11/2017,40.774,-122.309,2017-08-11T14:55:00Z,45,,37,,,,2018-01-09T12:39:00Z,,,,2017-08-11,2017,8,11
Mariposa,8/13/2017,37.65963,-120.34802,2017-08-13T16:23:00Z,22,,36,,,,2018-01-09T12:40:00Z,,,,2017-08-13,2017,8,13
San Diego,8/14/2017,33.1683,-116.77342,2017-08-14T14:00:00Z,37,,36,,,,2018-01-09T12:42:00Z,,,,2017-08-14,2017,8,14
Riverside,8/14/2017,33.74925,-117.10301,2017-08-14T15:45:00Z,33,,35,,,,2018-01-09T12:42:00Z,,,,2017-08-14,2017,8,14
Marin,8/17/2017,38.08055,-122.77846,2017-08-17T14:15:00Z,21,,35,,,,2018-01-09T12:42:00Z,,,,2017-08-17,2017,8,17
Riverside,8/15/2017,33.99316,-117.48405,2017-08-15T07:55:00Z,33,,35,,,,2018-01-09T12:43:00Z,,,,2017-08-15,2017,8,15
Sacramento,8/20/2017,38.45822,-120.92162,2017-08-20T14:44:00Z,34,,35,,,,2018-01-09T12:43:00Z,,,,2017-08-20,2017,8,20
Kern,8/21/2017,35.37351,-118.84134,2017-08-21T14:00:00Z,15,,35,,,,2018-01-09T12:43:00Z,,,,2017-08-21,2017,8,21
Riverside,8/20/2017,33.96419,-117.20507,2017-08-20T16:26:00Z,33,,35,,,,2018-01-09T12:43:00Z,,,,2017-08-20,2017,8,20
San Bernardino,8/19/2017,34.21829,-117.40625,2017-08-19T16:31:00Z,36,,34,,,,2018-01-09T12:43:00Z,,,,2017-08-19,2017,8,19
Riverside,8/24/2017,33.73547,-117.33364,2017-08-24T18:13:00Z,33,,34,,,,2018-01-09T12:44:00Z,,,,2017-08-24,2017,8,24
Humboldt,8/22/2017,40.03697,-123.64214,2017-08-22T14:00:00Z,12,,34,,,,2018-01-09T12:44:00Z,,,,2017-08-22,2017,8,22
San Benito,8/26/2017,36.85596,-121.30983,2017-08-26T12:35:00Z,35,,34,,,,2018-01-09T12:44:00Z,,,,2017-08-26,2017,8,26
Riverside,8/26/2017,33.763304,-117.314994,2017-08-26T11:30:00Z,33,,33,,,,2018-01-09T12:44:00Z,,,,2017-08-26,2017,8,26
Riverside,8/23/2017,33.584036,-116.972036,2017-08-23T13:28:00Z,33,,33,,,,2018-01-09T12:44:00Z,,,,2017-08-23,2017,8,23
Kern,8/26/2017,35.60633,-118.4642,2017-08-26T14:31:00Z,15,,33,,,,2018-01-09T12:45:00Z,,,,2017-08-26,2017,8,26
Trinity,8/27/2017,40.804,-123.375,2017-08-27T14:51:00Z,53,,32,,,,2018-01-09T12:45:00Z,,,,2017-08-27,2017,8,27
Trinity,8/27/2017,40.79902,-123.39253,2017-08-27T17:45:00Z,53,,32,,,,2018-01-09T12:45:00Z,,,,2017-08-27,2017,8,27
Riverside,8/26/2017,33.62613,-117.07975,2017-08-26T15:03:00Z,33,,32,,,,2018-01-09T12:45:00Z,,,,2017-08-26,2017,8,26
Monterey,8/27/2017,35.90092,-120.93371,2017-08-27T13:30:00Z,27,,32,,,,2018-01-09T12:45:00Z,,,,2017-08-27,2017,8,27
Monterey,8/29/2017,35.902149,-120.983684,2017-08-29T12:19:00Z,27,,32,,,,2018-01-09T12:46:00Z,,,,2017-08-29,2017,8,29
Monterey,8/27/2017,36.5858,-121.80377,2017-08-27T18:47:00Z,27,,31,,,,2018-01-09T12:46:00Z,,,,2017-08-27,2017,8,27
Fresno,8/28/2017,36.099681,-120.443545,2017-08-28T22:00:00Z,10,,31,,,,2018-01-09T12:46:00Z,,,,2017-08-28,2017,8,28
Kern,8/28/2017,35.60001,-118.4683,2017-08-28T21:38:00Z,15,,31,,,,2018-01-09T12:46:00Z,,,,2017-08-28,2017,8,28
Humboldt,8/28/2017,40.27582,-123.64281,2017-08-28T08:01:00Z,12,,30,,,,2018-01-09T12:46:00Z,,,,2017-08-28,2017,8,28
Riverside,8/28/2017,33.96896,-117.25411,2017-08-28T17:06:00Z,33,,30,,,,2018-01-09T12:46:00Z,,,,2017-08-28,2017,8,28
El Dorado,8/29/2017,38.77921,-120.46234,2017-08-29T08:29:00Z,9,,29,,,,2018-01-09T12:47:00Z,,,,2017-08-29,2017,8,29
Tehama,8/29/2017,40.29118,-122.42606,2017-08-29T15:15:00Z,52,,29,,,,2018-01-09T12:47:00Z,,,,2017-08-29,2017,8,29
Butte,8/29/2017,39.8255,-121.7127,2017-08-29T14:36:00Z,4,,28,,,,2018-01-09T12:47:00Z,,,,2017-08-29,2017,8,29
Modoc,8/29/2017,41.4844,-120.36659,2017-08-29T15:39:00Z,25,,28,,,,2018-01-09T12:47:00Z,,,,2017-08-29,2017,8,29
Del Norte,8/30/2017,41.93323,-124.19629,2017-08-30T08:30:00Z,8,,28,,,,2018-01-09T12:48:00Z,,,,2017-08-30,2017,8,30
Riverside,8/30/2017,33.79925,-117.11659,2017-08-30T15:38:00Z,33,,28,,,,2018-01-09T12:48:00Z,,,,2017-08-30,2017,8,30
Modoc,8/30/2017,41.64469,-120.31814,2017-08-30T16:51:00Z,25,,27,,,,2018-01-09T12:48:00Z,,,,2017-08-30,2017,8,30
Riverside,8/30/2017,33.82165,-116.96079,2017-08-30T11:38:00Z,33,,27,,,,2018-01-09T12:48:00Z,,,,2017-08-30,2017,8,30
Yuba,8/30/2017,39.03168,-121.40947,2017-08-30T14:50:00Z,58,,26,,,,2018-01-09T12:48:00Z,,,,2017-08-30,2017,8,30
Riverside,8/30/2017,33.71025,-117.31924,2017-08-30T18:00:00Z,33,,26,,,,2018-01-09T12:49:00Z,,,,2017-08-30,2017,8,30
Riverside,9/1/2017,33.94788,-116.59719,2017-09-01T13:26:00Z,33,,26,,,,2018-01-09T12:49:00Z,,,,2017-09-01,2017,9,1
San Diego,8/31/2017,33.18716,-116.50897,2017-08-31T10:13:00Z,37,,25,,,,2018-01-09T12:49:00Z,,,,2017-08-31,2017,8,31
San Luis Obispo,8/31/2017,35.76343,-121.04445,2017-08-31T13:57:00Z,40,,25,,,,2018-01-09T12:49:00Z,,,,2017-08-31,2017,8,31
San Diego,9/1/2017,32.59252,-116.61609,2017-09-01T11:21:00Z,37,,25,,,,2018-01-09T12:49:00Z,,,,2017-09-01,2017,9,1
Shasta,9/2/2017,40.71923,-122.02525,2017-09-02T13:33:00Z,45,,25,,,,2018-01-09T12:50:00Z,,,,2017-09-02,2017,9,2
San Diego,9/3/2017,32.7789,-116.8516,2017-09-03T16:23:00Z,37,,25,,,,2018-01-09T12:50:00Z,,,,2017-09-03,2017,9,3
Madera,9/1/2017,37.02081,-119.95136,2017-09-01T14:37:00Z,20,,25,,,,2018-01-09T12:50:00Z,,,,2017-09-01,2017,9,1
Los Angeles,9/1/2017,34.29931,-118.37539,2017-09-01T04:20:00Z,19,,25,,,,2018-01-09T12:50:00Z,,,,2017-09-01,2017,9,1
San Diego,9/3/2017,32.679,-116.29296,2017-09-03T16:59:00Z,37,,25,,,,2018-01-09T12:50:00Z,,,,2017-09-03,2017,9,3
Riverside,9/3/2017,33.50488,-117.02132,2017-09-03T19:17:00Z,33,,23,,,,2018-01-09T12:50:00Z,,,,2017-09-03,2017,9,3
Alameda,9/3/2017,37.77982,-122.169,2017-09-03T13:10:00Z,1,,22,,,,2018-01-09T12:51:00Z,,,,2017-09-03,2017,9,3
Calaveras,9/3/2017,38.20176,-120.67848,2017-09-03T09:23:00Z,5,,22,,,,2018-01-09T12:51:00Z,,,,2017-09-03,2017,9,3
Napa,9/5/2017,38.68347,-122.2654,2017-09-05T18:38:00Z,28,,22,,,,2018-01-09T13:18:00Z,,,,2017-09-05,2017,9,5
San Luis Obispo,9/3/2017,35.41112,-120.00353,2017-09-03T13:06:00Z,40,,21,,,,2018-01-09T13:18:00Z,,,,2017-09-03,2017,9,3
Lake,9/3/2017,39.01748,-122.49327,2017-09-03T20:32:00Z,17,,21,,,,2018-01-09T13:18:00Z,,,,2017-09-03,2017,9,3
Tulare,9/11/2017,36.10858,-118.81979,2017-09-11T15:11:00Z,54,,21,,,,2018-01-09T13:19:00Z,,,,2017-09-11,2017,9,11
Butte,9/10/2017,39.364,-121.4143,2017-09-10T13:49:00Z,4,,21,,,,2018-01-09T13:19:00Z,,,,2017-09-10,2017,9,10
Shasta,9/7/2017,0,0,2017-09-07T15:41:00Z,45,,21,,,,2018-01-09T13:19:00Z,,,,2017-09-07,2017,9,7
San Benito,9/5/2017,36.35578,-120.99552,2017-09-05T14:55:00Z,35,,21,,,,2018-01-09T13:19:00Z,,,,2017-09-05,2017,9,5
Humboldt,9/11/2017,40.88516,-123.96844,2017-09-11T10:00:00Z,12,,20,,,,2018-01-09T13:19:00Z,,,,2017-09-11,2017,9,11
Sonoma,9/7/2017,38.51937,-123.24713,2017-09-07T15:00:00Z,49,,20,,,,2018-01-09T13:19:00Z,,,,2017-09-07,2017,9,7
Tehama,9/12/2017,40.20077,-122.24731,2017-09-12T14:36:00Z,52,,20,,,,2018-01-09T13:20:00Z,,,,2017-09-12,2017,9,12
Tuolumne,9/12/2017,37.65986,-120.31157,2017-09-12T16:08:00Z,55,,20,,,,2018-01-09T13:20:00Z,,,,2017-09-12,2017,9,12
San Bernardino,9/11/2017,34.139,-117.199,2017-09-11T19:41:00Z,36,,20,,,,2018-01-09T13:20:00Z,,,,2017-09-11,2017,9,11
Mendocino,9/12/2017,39.13207,-123.10227,2017-09-12T12:45:00Z,23,,20,,,,2018-01-09T13:20:00Z,,,,2017-09-12,2017,9,12
Riverside,9/12/2017,33.52584,-116.85226,2017-09-12T17:42:00Z,33,,20,,,,2018-01-09T13:21:00Z,,,,2017-09-12,2017,9,12
Contra Costa,9/12/2017,37.86549,-122.2102,2017-09-12T06:58:00Z,7,,20,,,,2018-01-09T13:21:00Z,,,,2017-09-12,2017,9,12
Kings,9/18/2017,35.983,-119.91508,2017-09-18T16:04:00Z,16,,20,,,,2018-01-09T13:21:00Z,,,,2017-09-18,2017,9,18
Monterey,9/17/2017,35.77082,-120.92482,2017-09-17T15:18:00Z,27,,20,,,,2018-01-09T13:21:00Z,,,,2017-09-17,2017,9,17
Riverside,9/12/2017,33.88994,-116.91023,2017-09-12T17:24:00Z,33,,19,,,,2018-01-09T13:21:00Z,,,,2017-09-12,2017,9,12
Nevada,9/19/2017,39.06414,-121.13737,2017-09-19T13:02:00Z,29,,19,,,,2018-01-09T13:22:00Z,,,,2017-09-19,2017,9,19
Riverside,9/20/2017,33.797216,-117.124538,2017-09-20T13:41:00Z,33,,19,,,,2018-01-09T13:23:00Z,,,,2017-09-20,2017,9,20
Humboldt,9/19/2017,40.39799,-123.57562,2017-09-19T19:47:00Z,12,,19,,,,2018-01-09T13:23:00Z,,,,2017-09-19,2017,9,19
Stanislaus,9/23/2017,37.81827,-120.65764,2017-09-23T11:05:00Z,50,,19,,,,2018-01-09T13:23:00Z,,,,2017-09-23,2017,9,23
Siskiyou,9/20/2017,40.703775,-122.645079,2017-09-20T21:07:00Z,47,,19,,,,2018-01-09T13:23:00Z,,,,2017-09-20,2017,9,20
Kern,9/23/2017,35.71704,-118.30601,2017-09-23T15:40:00Z,15,,19,,,,2018-01-09T13:23:00Z,,,,2017-09-23,2017,9,23
Sonoma,9/20/2017,38.26294,-122.71998,2017-09-20T14:53:00Z,49,,18,,,,2018-01-09T13:23:00Z,,,,2017-09-20,2017,9,20
Butte,9/25/2017,39.53944,-121.54722,2017-09-25T11:03:00Z,4,,18,,,,2018-01-09T13:24:00Z,,,,2017-09-25,2017,9,25
Fresno,9/26/2017,36.61332,-120.7109,2017-09-26T15:20:00Z,10,,18,,,,2018-01-09T13:25:00Z,,,,2017-09-26,2017,9,26
Monterey,9/26/2017,36.1727,-120.86682,2017-09-26T12:22:00Z,27,,18,,,,2018-01-09T13:25:00Z,,,,2017-09-26,2017,9,26
Mariposa,9/26/2017,37.41231,-119.87465,2017-09-26T15:30:00Z,22,,17,,,,2018-01-09T13:26:00Z,,,,2017-09-26,2017,9,26
Shasta,9/26/2017,40.92602,-121.5935,2017-09-26T16:45:00Z,45,,17,,,,2018-01-09T13:26:00Z,,,,2017-09-26,2017,9,26
Shasta,9/27/2017,40.69259,-122.17384,2017-09-27T14:00:00Z,45,,17,,,,2018-01-09T13:27:00Z,,,,2017-09-27,2017,9,27
San Luis Obispo,9/28/2017,35.556667,-120.474,2017-09-28T14:46:00Z,40,,17,,,,2018-01-09T13:27:00Z,,,,2017-09-28,2017,9,28
Monterey,9/29/2017,36.2771,-120.94328,2017-09-29T14:42:00Z,27,,17,,,,2018-01-09T13:28:00Z,,,,2017-09-29,2017,9,29
Riverside,9/29/2017,33.88466,-116.99229,2017-09-29T18:01:00Z,33,,17,,,,2018-01-09T13:28:00Z,,,,2017-09-29,2017,9,29
Kern,10/2/2017,35.188,-119.2877,2017-10-02T09:37:00Z,15,,16,,,,2018-01-09T13:29:00Z,,,,2017-10-02,2017,10,2
San Bernardino,10/6/2017,34.04412,-116.55326,2017-10-06T14:38:00Z,36,,16,,,,2018-01-09T13:29:00Z,,,,2017-10-06,2017,10,6
Fresno,9/29/2017,36.96642,-119.58292,2017-09-29T15:58:00Z,10,,16,,,,2018-01-09T13:29:00Z,,,,2017-09-29,2017,9,29
Tehama,10/3/2017,39.87983,-122.5415,2017-10-03T16:22:00Z,52,,15,,,,2018-01-09T13:29:00Z,,,,2017-10-03,2017,10,3
Nevada,10/3/2017,39.16826,-120.95498,2017-10-03T11:44:00Z,29,,15,,,,2018-01-09T13:29:00Z,,,,2017-10-03,2017,10,3
Modoc,10/8/2017,41.45589,-120.56933,2017-10-08T16:40:00Z,25,,15,,,,2018-01-09T13:30:00Z,,,,2017-10-08,2017,10,8
Monterey,10/7/2017,35.947,-120.87492,2017-10-07T20:00:00Z,27,,15,,,,2018-01-09T13:30:00Z,,,,2017-10-07,2017,10,7
Calaveras,10/8/2017,38.19906,-120.83484,2017-10-08T04:53:00Z,5,,15,,,,2018-01-09T13:31:00Z,,,,2017-10-08,2017,10,8
Riverside,10/8/2017,33.56777,-116.08003,2017-10-08T12:15:00Z,33,,15,,,,2018-01-09T13:31:00Z,,,,2017-10-08,2017,10,8
Santa Barbara,10/10/2017,34.71796,-120.27077,2017-10-10T14:57:00Z,42,,14,,,,2018-01-09T13:32:00Z,,,,2017-10-10,2017,10,10
Santa Barbara,10/9/2017,34.605358,-120.414875,2017-10-09T01:00:00Z,42,,14,,,,2018-01-09T13:33:00Z,,,,2017-10-09,2017,10,9
Butte,10/9/2017,39.8629,-121.6268,2017-10-09T01:10:00Z,4,,14,,,,2018-01-09T13:33:00Z,,,,2017-10-09,2017,10,9
Monterey,10/10/2017,35.80375,-120.52508,2017-10-10T12:30:00Z,27,,14,,,,2018-01-09T13:33:00Z,,,,2017-10-10,2017,10,10
Riverside,10/8/2017,33.97155,-117.44148,2017-10-08T23:48:00Z,33,,14,,,,2018-01-09T13:33:00Z,,,,2017-10-08,2017,10,8
Stanislaus,10/9/2017,37.89532,-120.84748,2017-10-09T14:00:00Z,50,,13,,,,2018-01-09T13:34:00Z,,,,2017-10-09,2017,10,9
El Dorado,10/9/2017,38.69775,-120.73757,2017-10-09T15:05:00Z,9,,13,,,,2018-01-09T13:34:00Z,,,,2017-10-09,2017,10,9
El Dorado,10/9/2017,38.67474,-121.06088,2017-10-09T14:30:00Z,9,,13,,,,2018-01-09T13:34:00Z,,,,2017-10-09,2017,10,9
San Bernardino,10/9/2017,34.304722,-117.3125,2017-10-09T01:30:00Z,36,,13,,,,2018-01-09T13:34:00Z,,,,2017-10-09,2017,10,9
Butte,10/10/2017,39.44257,-121.60683,2017-10-10T15:36:00Z,4,,12,,,,2018-01-09T13:35:00Z,,,,2017-10-10,2017,10,10
San Diego,10/13/2017,0,0,2017-10-13T13:16:00Z,37,,12,,,,2018-01-09T13:36:00Z,,,,2017-10-13,2017,10,13
San Luis Obispo,10/12/2017,35.6879,-120.3317,2017-10-12T10:42:00Z,40,,12,,,,2018-01-09T13:36:00Z,,,,2017-10-12,2017,10,12
Riverside,10/14/2017,33.7866,-117.5048,2017-10-14T16:00:00Z,33,,12,,,,2018-01-09T13:36:00Z,,,,2017-10-14,2017,10,14
Merced,10/11/2017,37.21812,-121.07761,2017-10-11T15:59:00Z,24,,12,,,,2018-01-09T13:36:00Z,,,,2017-10-11,2017,10,11
Sonoma,10/13/2017,38.70289,-122.90217,2017-10-13T12:14:00Z,49,,11,,,,2018-01-09T13:37:00Z,,,,2017-10-13,2017,10,13
Riverside,10/14/2017,33.913089,-117.096233,2017-10-14T05:00:00Z,33,,11,,,,2018-01-09T13:38:00Z,,,,2017-10-14,2017,10,14
Tehama,10/13/2017,40.24789,-122.255,2017-10-13T15:40:00Z,52,,10,,,,2018-01-09T13:38:00Z,,,,2017-10-13,2017,10,13
Mariposa,10/17/2017,37.76888,-120.15846,2017-10-17T03:43:00Z,22,,10,,,,2018-01-09T13:40:00Z,,,,2017-10-17,2017,10,17
Fresno,10/15/2017,37.10067,-119.32109,2017-10-15T14:55:00Z,10,,10,,,,2018-01-09T13:40:00Z,,,,2017-10-15,2017,10,15
Amador,10/15/2017,38.34421,-120.72274,2017-10-15T14:05:00Z,3,,10,,,,2018-01-09T13:40:00Z,,,,2017-10-15,2017,10,15
Los Angeles,10/17/2017,34.23925,-117.85182,2017-10-17T10:19:00Z,19,,10,,,,2018-01-09T13:41:00Z,,,,2017-10-17,2017,10,17
Nevada,10/16/2017,39.36902,-120.97586,2017-10-16T22:30:00Z,29,,10,,,,2018-01-09T13:41:00Z,,,,2017-10-16,2017,10,16
Shasta,10/17/2017,40.48972,-122.38619,2017-10-17T14:00:00Z,45,,10,,,,2018-01-09T13:41:00Z,,,,2017-10-17,2017,10,17
Riverside,10/21/2017,33.77896,-117.24091,2017-10-21T13:04:00Z,33,,10,,,,2018-01-09T13:41:00Z,,,,2017-10-21,2017,10,21
Butte,10/18/2017,39.50475,-121.33785,2017-10-18T12:53:00Z,4,,10,,,,2018-01-09T13:41:00Z,,,,2017-10-18,2017,10,18
Riverside,10/23/2017,33.91806,-116.99321,2017-10-23T10:31:00Z,33,,10,,,,2018-01-09T13:42:00Z,,,,2017-10-23,2017,10,23
Nevada,10/20/2017,39.08382,-121.06656,2017-10-20T12:13:00Z,29,,10,,,,2018-01-09T13:42:00Z,,,,2017-10-20,2017,10,20
Riverside,10/26/2017,33.90965,-116.9669,2017-10-26T12:34:00Z,33,,10,,,,2018-01-09T13:45:00Z,,,,2017-10-26,2017,10,26
Riverside,10/24/2017,117.138741,33.939428,2017-10-24T14:44:00Z,33,,10,,,,2018-01-09T13:45:00Z,,,,2017-10-24,2017,10,24
Kern,10/26/2017,35.564124,-118.796513,2017-10-26T11:55:00Z,15,,10,,,,2018-01-09T13:45:00Z,,,,2017-10-26,2017,10,26
