Counties (Location),FormattedDate,Latitude,Longitude,Extinguished (Date),CountyIds (might not need this one),Wildfire_Probability,AcresBurned,,,,Extinguished,,Started
Solano,6/14/2013,38.4229,-122.0437,2013-06-14T15:45:00Z,"49,48,17,6",,28,,,,2013-06-14T15:45:00Z,,2013-06-10T00:46:00Z
Lake,6/14/2013,38.4229,-122.0437,2013-06-14T15:45:00Z,"49,48,17,6",,28,,,,2013-06-14T15:45:00Z,,2013-06-10T00:46:00Z
Colusa,6/14/2013,38.4229,-122.0437,2013-06-14T15:45:00Z,"49,48,17,6",,28,,,,2013-06-14T16:30:00Z,,2013-06-12T16:40:00Z
Riverside,6/15/2013,34.001745,-117.302057,2013-06-15T08:00:00Z,33,,40,,,,2013-06-15T08:00:00Z,,2013-06-14T13:47:00Z
Glenn,6/17/2013,0,0,2013-06-17T09:00:00Z,11,,226,,,,2013-06-17T09:00:00Z,,2013-06-12T15:17:00Z
Madera,6/18/2013,37.015575,-119.78106,2013-06-18T19:30:00Z,20,,482,,,,2013-06-18T19:30:00Z,,2013-06-16T18:17:00Z
Solano,6/18/2013,38.08744,-122.13802,2013-06-18T22:30:00Z,48,,124,,,,2013-06-18T22:30:00Z,,2013-06-18T15:18:00Z
Fresno,6/19/2013,37.03087,-119.463757,2013-06-19T08:45:00Z,10,,46,,,,2013-06-19T08:45:00Z,,2013-06-17T14:41:00Z
Lake,6/20/2013,38.98058,-122.81796,2013-06-20T13:15:00Z,17,,25,,,,2013-06-20T13:15:00Z,,2013-06-20T14:29:00Z
Fresno,6/25/2013,36.7218,-119.2248,2013-06-25T17:15:00Z,10,,150,,,,2013-06-25T17:15:00Z,,2013-06-25T13:36:00Z
Mariposa,6/26/2013,37.58202,-119.91071,2013-06-26T11:15:00Z,22,,1708,,,,2013-06-26T11:15:00Z,,2013-06-16T14:12:00Z
Monterey,6/29/2013,36.1531,-120.8973,2013-06-29T18:30:00Z,27,,105,,,,2013-06-29T18:30:00Z,,2013-06-29T14:09:00Z
San Bernardino,7/1/2013,34.071556,-117.048397,2013-07-01T06:00:00Z,36,,534,,,,2013-07-01T06:00:00Z,,2013-06-28T14:30:00Z
Contra Costa,7/1/2013,37.96866,-121.91453,2013-07-01T18:40:00Z,7,,492,,,,2013-07-01T18:30:00Z,,2013-07-01T15:41:00Z
Contra Costa,7/1/2013,39.90465,-121.74367,2013-07-01T18:30:00Z,7,,274,,,,2013-07-01T18:40:00Z,,2013-07-01T13:19:00Z
Tehama,7/4/2013,40.012398,-122.079871,2013-07-04T10:30:00Z,52,,200,,,,2013-07-04T10:30:00Z,,2013-07-04T07:30:00Z
Alameda,7/4/2013,37.7393,-121.5869,2013-07-04T11:30:00Z,1,,50,,,,2013-07-04T11:30:00Z,,2013-07-04T10:00:00Z
Modoc,7/5/2013,41.2415,-121.035,2013-07-05T18:30:00Z,25,,502,,,,2013-07-05T18:30:00Z,,2013-07-03T22:56:00Z
Alameda,7/6/2013,37.74241,-121.86216,2013-07-06T14:30:00Z,1,,38,,,,2013-07-06T14:30:00Z,,2013-07-06T13:09:00Z
San Luis Obispo,7/7/2013,35.62743,-120.83417,2013-07-07T22:00:00Z,40,,85,,,,2013-07-07T22:00:00Z,,2013-07-07T13:16:00Z
Yuba,7/8/2013,39.206,-121.31634,2013-07-08T17:30:00Z,58,,73,,,,2013-07-08T17:30:00Z,,2013-07-08T09:59:00Z
Shasta,7/9/2013,40.373,-122.7338,2013-07-09T15:00:00Z,45,,43,,,,2013-07-09T15:00:00Z,,2013-07-09T11:59:00Z
El Dorado,7/11/2013,38.774,-120.298,2013-07-11T18:30:00Z,9,,572,,,,2013-07-11T18:30:00Z,,2013-07-08T12:45:00Z
Santa Clara,7/12/2013,37.1438,-121.7804,2013-07-12T17:45:00Z,43,,50,,,,2013-07-12T17:45:00Z,,2013-07-12T13:09:00Z
Stanislaus,7/13/2013,37.436,-121.1955,2013-07-13T21:45:00Z,50,,150,,,,2013-07-13T21:45:00Z,,2013-07-12T15:35:00Z
San Diego,7/15/2013,32.95435,-116.47381,2013-07-15T06:15:00Z,37,,7055,,,,2013-07-15T06:15:00Z,,2013-07-06T12:55:00Z
Monterey,7/17/2013,0,0,2013-07-17T19:30:00Z,27,,213,,,,2013-07-17T07:45:00Z,,2013-07-16T17:48:00Z
Riverside,7/17/2013,33.990128,-117.164997,2013-07-17T07:45:00Z,33,,150,,,,2013-07-17T19:30:00Z,,2013-07-17T13:23:00Z
Tehama,7/19/2013,39.961309,-122.330879,2013-07-19T15:00:00Z,52,,195,,,,2013-07-19T15:00:00Z,,2013-07-19T13:32:00Z
El Dorado,7/19/2013,38.63987,-121.08438,2013-07-19T17:15:00Z,"9,34",,163,,,,2013-07-19T17:15:00Z,,2013-07-19T14:12:00Z
Sacramento,7/19/2013,38.63987,-121.08438,2013-07-19T17:15:00Z,"9,34",,163,,,,2013-07-19T17:15:00Z,,2013-07-19T14:12:00Z
Riverside,7/19/2013,33.94528,-117.09306,2013-07-19T19:30:00Z,33,,15,,,,2013-07-19T19:30:00Z,,2013-07-19T17:31:00Z
Riverside,7/20/2013,33.9634,-117.2508,2013-07-20T19:30:00Z,33,,40,,,,2013-07-20T19:30:00Z,,2013-07-19T16:21:00Z
Kern,7/22/2013,34.882,-118.9194,2013-07-22T18:45:00Z,15,,712,,,,2013-07-22T18:45:00Z,,2013-07-19T12:00:00Z
Mendocino,7/23/2013,38.980846,-123.067671,2013-07-23T16:00:00Z,23,,45,,,,2013-07-23T15:10:00Z,,2013-07-22T12:34:00Z
Calaveras,7/23/2013,37.965364,-120.696362,2013-07-23T15:10:00Z,5,,31,,,,2013-07-23T16:00:00Z,,2013-07-23T13:29:00Z
Kern,7/25/2013,34.90327,-118.93388,2013-07-25T18:30:00Z,15,,612,,,,2013-07-25T18:30:00Z,,2013-07-23T09:15:00Z
Sonoma,7/26/2013,38.17693,-122.51253,2013-07-26T17:45:00Z,49,,158,,,,2013-07-26T17:45:00Z,,2013-07-26T13:45:00Z
San Bernardino,7/26/2013,34.316,-117.352,2013-07-26T18:15:00Z,36,,75,,,,2013-07-26T18:15:00Z,,2013-07-25T15:09:00Z
San Diego,7/28/2013,32.612773,-116.707335,2013-07-28T17:50:00Z,37,,25,,,,2013-07-28T17:50:00Z,,2013-07-28T09:43:00Z
Riverside,7/30/2013,33.7095,-116.72885,2013-07-30T18:00:00Z,33,,27531,,,,2013-07-30T18:00:00Z,,2013-07-15T13:43:00Z
Siskiyou,7/31/2013,0,0,2013-07-31T19:25:00Z,47,,40,,,,2013-07-31T19:25:00Z,,2013-07-31T15:25:00Z
Humboldt,8/3/2013,41.333,-123.376,2013-08-03T15:00:00Z,12,,0,,,,2013-08-03T15:00:00Z,,2013-08-03T08:00:00Z
Butte,8/4/2013,39.6612,-121.50354,2013-08-04T14:45:00Z,4,,92,,,,2013-08-04T14:45:00Z,,2013-08-01T16:01:00Z
Riverside,8/4/2013,33.91027,-116.99895,2013-08-04T18:00:00Z,33,,60,,,,2013-08-04T18:00:00Z,,2013-08-04T16:29:00Z
Shasta,8/5/2013,0,0,2013-08-05T08:17:00Z,45,,34,,,,2013-08-05T08:17:00Z,,2013-08-04T18:00:00Z
Lake,8/7/2013,39.1591,-122.5906,2013-08-07T18:30:00Z,17,,38,,,,2013-08-07T18:30:00Z,,2013-08-07T12:35:00Z
Riverside,8/8/2013,38.838,-116.61,2013-08-08T09:00:00Z,33,,60,,,,2013-08-08T09:00:00Z,,2013-08-06T13:39:00Z
Riverside,8/9/2013,33.62236,-117.40288,2013-08-09T18:45:00Z,"33,",,1383,,,,2013-08-09T18:45:00Z,,2013-08-05T10:10:00Z
Los Angeles,8/11/2013,0,0,2013-08-11T19:15:00Z,19,,100,,,,2013-08-11T19:15:00Z,,2013-08-09T17:15:00Z
Riverside,8/12/2013,33.86157,-116.90427,2013-08-12T18:00:00Z,33,,20292,,,,2013-08-12T09:30:00Z,,2013-08-09T15:51:00Z
Humboldt,8/12/2013,41.035,-123.488,2013-08-12T12:00:00Z,12,,12503,,,,2013-08-12T12:00:00Z,,2013-08-10T11:40:00Z
Lassen,8/12/2013,40.88886,-120.958126,2013-08-12T09:30:00Z,18,,97,,,,2013-08-12T18:00:00Z,,2013-08-07T14:05:00Z
San Bernardino,8/13/2013,34.35,-117.62,2013-08-13T23:45:00Z,36,,243,,,,2013-08-13T23:45:00Z,,2013-08-08T12:15:00Z
Tuolumne,8/14/2013,38.25108,-120.02778,2013-08-14T08:30:00Z,55,,1070,,,,2013-08-14T08:30:00Z,,2013-08-05T06:00:00Z
