Extinguished (Date),Counties (Location),CountyIds (might not need this one),Latitude,Longitude,Wildfire_Probability,AcresBurned,Avg_Temperature,Avg_Humidity,Rainfall_30,Rainfall_60,Rainfall_90
2013-08-16T21:00:00Z,Riverside,33,33.570291,-116.10815,,40,,,,,
2013-07-31T19:25:00Z,Siskiyou,47,0,0,,40,,,,,
2013-07-20T19:30:00Z,Riverside,33,33.9634,-117.2508,,40,,,,,
2013-06-15T08:00:00Z,Riverside,33,34.001745,-117.302057,,40,,,,,
2013-05-17T08:30:00Z,Riverside,33,33.655638,-116.161201,,40,,,,,
2013-08-24T11:45:00Z,El Dorado,9,38.89555,-120.84716,,38,,,,,
2013-08-07T18:30:00Z,Lake,17,39.1591,-122.5906,,38,,,,,
2013-07-06T14:30:00Z,Alameda,1,37.74241,-121.86216,,38,,,,,
2013-06-13T21:30:00Z,Fresno,10,36.763367,-119.558244,,35,,,,,
2013-05-20T19:10:00Z,San Luis Obispo,40,35.49864,-120.91375,,35,,,,,
2013-08-05T08:17:00Z,Shasta,45,0,0,,34,,,,,
2013-11-07T19:45:00Z,Shasta,45,40.483662,-122.140914,,33,,,,,
2013-07-23T15:10:00Z,Calaveras,5,37.965364,-120.696362,,31,,,,,
2013-09-15T17:14:00Z,Lake,17,38.9777,-122.683,,30,,,,,
2013-06-06T07:00:00Z,Lake,17,38.99233,-122.703193,,30,,,,,
2013-04-22T09:00:00Z,San Bernardino,36,34.288877,-116.941311,,30,,,,,
2013-06-14T15:45:00Z,Sonoma,"49,48,17,6",38.4229,-122.0437,,28,,,,,
2013-06-14T15:45:00Z,Solano,"49,48,17,6",38.4229,-122.0437,,28,,,,,
2013-06-14T15:45:00Z,Lake,"49,48,17,6",38.4229,-122.0437,,28,,,,,
2013-06-14T15:45:00Z,Colusa,"49,48,17,6",38.4229,-122.0437,,28,,,,,
2013-08-14T20:35:00Z,Shasta,45,40.473356,-122.48259,,27,,,,,
2013-07-28T17:50:00Z,San Diego,37,32.612773,-116.707335,,25,,,,,
2013-06-20T13:15:00Z,Lake,17,38.98058,-122.81796,,25,,,,,
2013-05-20T18:50:00Z,Riverside,33,33.96201,-116.907213,,25,,,,,
2013-11-24T18:45:00Z,Lake,17,38.9289,-122.5818,,23,,,,,
2013-12-30T20:30:00Z,Mendocino,23,0,0,,15,,,,,
2013-07-19T19:30:00Z,Riverside,33,33.94528,-117.09306,,15,,,,,
2013-05-13T09:00:00Z,Madera,20,0,0,,15,,,,,
2013-08-03T15:00:00Z,Humboldt,12,41.333,-123.376,,0,,,,,
2013-06-09T16:45:00Z,Riverside,33,33.99647,-116.84137,,0,,,,,
2014-10-09T17:20:00Z,El Dorado,9,38.805437,-120.629714,,97717,,,,,
2014-08-06T10:00:00Z,Siskiyou,47,0,0,,50042,,,,,
2014-08-15T14:00:00Z,Shasta,45,40.901,-121.368,,39736,,,,,
2014-08-18T09:45:00Z,Siskiyou,47,42.048,-122.345,,35302,,,,,
2014-09-02T13:00:00Z,Siskiyou,47,0,0,,32496,,,,,
2014-08-25T10:00:00Z,Shasta,45,40.72,-121.562,,32416,,,,,
2014-05-21T17:00:00Z,San Diego,37,0,0,,14416,,,,,
2014-07-28T14:30:00Z,Madera,20,0,0,,13838,,,,,
2014-08-13T07:00:00Z,Modoc,25,41.1336,-121.2144,,13153,,,,,
2014-07-26T20:00:00Z,Shasta,45,40.4314,-122.750788,,12661,,,,,
2014-09-09T19:30:00Z,Mendocino,23,0,0,,12536,,,,,
2014-07-12T18:00:00Z,Yolo,57,38.512,-122.104,,6488,,,,,
2014-11-14T13:00:00Z,Shasta,45,41.141,-122.805,,6258,,,,,
2014-08-18T10:00:00Z,Siskiyou,47,41.682,-122.127,,5503,,,,,
2014-05-19T09:20:00Z,San Diego,37,33.3529,-117.284889,,5367,,,,,
2014-06-21T19:00:00Z,Monterey,27,0,0,,4840,,,,,
