Counties (Location),FormattedDate,Latitude,Longitude,Extinguished (Date),Wildfire_Probability,AcresBurned,County,Latitude (WeatherStation),Longitude (WeatherStation),Stn Id,Precip (in),precip30 (in),precip60 (in),precip90 (in),Max Air Temp (F),Min Air Temp (F),Avg Air Temp (F),Max Rel Hum (%),Min Rel Hum (%),Avg Rel Hum (%)
Yolo,6/27/2016,38.69971,-122.15457,2016-06-27T06:15:00Z,,277,Yolo,38.691786,-122.01381,196,0,0.01,0.95,1.3,106.5,74.2,92.5,42,14,22
Lake,6/28/2016,39.12366,-122.50373,2016-06-28T20:00:00Z,,215,Colusa,39.226861,-122.0248,32,0,0.07,0.83,1.04,100.3,61.3,82.9,88,25,45
Orange,6/29/2016,33.57872,-117.77395,2016-06-29T18:30:00Z,,47,Orange,33.68845,-117.72118,75,0,0,0.12,0.14,85.5,65,73.1,100,50,73
San Luis Obispo,6/29/2016,35.70821,-120.82266,2016-06-29T17:00:00Z,,86,San Luis Obispo,35.472556,-120.64814,163,0,0.21,0.65,1.51,101.4,57.5,77.5,75,9,30
Amador,6/29/2016,38.385,-121.003611,2016-06-29T07:30:00Z,,372,Amador,38.508333,-120.79972,227,0,0,0.66,3.68,95.1,60.4,78.6,56,11,32
San Diego,6/30/2016,32.60729,-116.63028,2016-06-30T18:30:00Z,,7609,San Diego,32.628208,-116.93928,147,0,0.05,0.92,1.89,77.5,63.8,68.7,91,62,78
Ventura,6/30/2016,34.701,-119.144,2016-06-30T16:55:00Z,,2304,Ventura,34.324639,-119.10488,198,0,0,0,0,75.8,55.6,65.2,100,62,82
Calaveras,6/30/2016,38.22017,-120.8678,2016-06-30T07:00:00Z,,33,Amador,38.508333,-120.79972,227,0,0,0.66,3.68,96.5,55,77.5,56,11,30
Ventura,7/1/2016,34.27619,-118.63264,2016-07-01T19:50:00Z,,45,Ventura,34.269031,-118.849319,217,0,2.05,4.42,6.6,80.4,55.3,67.6,95,56,74
Tehama,7/1/2016,40.07846,-122.2071,2016-07-01T17:45:00Z,,88,Tehama,40.040006,-122.154539,222,0,0.7,1.91,2.7,96.2,66.4,81.8,83,35,54
Inyo,7/2/2016,36.58972,-118.15589,2016-07-02T20:00:00Z,,30,Inyo,36.488611,-117.91944,183,0,0.1,0.12,0.42,95.3,71.9,84,43,12,22
Tehama,7/4/2016,40.0353,-122.56939,2016-07-04T07:45:00Z,,464,Tehama,40.040006,-122.154539,222,0,0.7,1.81,2.7,89.9,65.5,78.3,68,31,50
Fresno,7/5/2016,36.0749,-120.452041,2016-07-05T07:05:00Z,,2944,Fresno,36.175833,-120.36027,205,0,0,0.44,0.79,94.4,63.1,80.3,36,16,27
Madera,7/6/2016,37.25601,-119.65776,2016-07-06T20:00:00Z,,103,Madera,37.02,-120.15,188,0,0,0,1.4,93.3,53.8,74.3,84,22,46
Fresno,7/7/2016,36.14161,-120.62048,2016-07-07T19:00:00Z,,145,Fresno,36.175833,-120.36027,205,0,0,0.15,0.79,91.9,60.8,78.9,48,20,28
Kern,7/8/2016,35.20993,-118.72272,2016-07-08T19:00:00Z,,1785,Kern,35.205583,-118.77841,125,0,0.12,0.12,1.93,94.8,62.8,80.9,64,24,38
Calaveras,7/8/2016,38.02845,-120.61153,2016-07-08T19:32:00Z,,310,Stanislaus,37.727194,-120.85086,194,0,0,0,1.68,90.1,55.9,71.6,86,29,54
Mono,7/9/2016,37.97,-119.14,2016-07-09T08:30:00Z,,650,Inyo,37.358514,-118.40553,35,0,0.84,0.93,1.3,92.2,51.2,74.7,68,14,28
Kern,7/10/2016,34.913,118.9082,2016-07-10T19:37:00Z,,554,Kern,35.649861,-119.9593,54,0,0,0,0.23,87.4,60.9,74.1,59,15,36
San Benito,7/10/2016,5487,-120.841536,2016-07-10T19:30:00Z,,95,San Benito,36.854833,-121.36275,126,0,0.08,0.08,0.33,83.7,49.9,67,78,30,49
Kern,7/11/2016,35.6115,-118.45628,2016-07-11T09:40:00Z,,48019,Kern,35.205583,-118.77841,125,0,0.12,0.12,1.05,89.5,56.9,76,64,24,36
Sacramento,7/11/2016,38.517772,-121.103642,2016-07-11T06:35:00Z,,87,Sacramento,38.649964,-121.21887,131,0,0,0.3,1.31,91.6,53.4,73.9,77,20,41
Ventura,7/12/2016,33.11645,-116.58542,2016-07-12T10:30:00Z,,15,Ventura,34.269031,-118.849319,217,0.11,2.27,4.72,6.75,79.4,55.2,66.4,95,54,72
Santa Barbara,7/12/2016,34.776,-119.643,2016-07-12T14:30:00Z,,7474,Santa Barbara,34.942525,-119.6738,88,0,0,0,0.9,92.7,51.5,73.7,64,17,33
Shasta,7/12/2016,40.36873,-122.72913,2016-07-12T07:00:00Z,,441,Shasta,40.63,-122.31,224,0,1.62,2.33,4.06,93.4,52.8,74.4,78,14,35
Fresno,7/13/2016,36.92244,-119.39619,2016-07-13T17:30:00Z,,188,Fresno,36.721083,-119.38903,142,0,0,0.04,0.43,99.5,56.3,79.9,75,14,30
Calaveras,7/13/2016,37.96311,-120.67335,2016-07-13T19:00:00Z,,35,Stanislaus,37.727194,-120.85086,194,0,0,0,0.31,97.4,56.2,77.4,80,19,43
Kern,7/14/2016,35.68313,-118.21793,2016-07-14T12:00:00Z,,221,Kern,35.205583,-118.77841,125,0,0.12,0.12,1.05,101.5,62.7,84.1,64,18,32
Ventura,7/15/2016,36.92244,-119.39619,2016-07-15T14:00:00Z,,78,Ventura,34.324639,-119.10488,198,0,0,0,0,77.4,58.7,66.8,100,61,82
Yolo,7/15/2016,38.8866,-122.04726,2016-07-15T15:40:00Z,,84,Yolo,38.691786,-122.01381,196,0,0.01,0.73,1.11,100.5,60.9,80.5,76,17,38
Los Angeles,7/16/2016,34.36763,-118.57245,2016-07-16T12:00:00Z,,1109,Los Angeles,34.426361,-118.51758,204,0,0,0,0.05,91.2,57.6,73.2,83,10,40
Kern,7/16/2016,35.60748,-118.94811,2016-07-16T07:40:00Z,,138,Kern,35.532556,-119.28179,5,0,0,0.02,0.56,97.9,61.1,79.8,67,18,32
Fresno,7/16/2016,37.0099,-119.5792,2016-07-16T18:00:00Z,,123,Fresno,36.820833,-119.74231,80,0,0,0.08,1.02,96.7,63.2,81.4,70,17,34
Calaveras,7/16/2016,38.08056,-120.81394,2016-07-16T18:30:00Z,,341,Stanislaus,37.727194,-120.85086,194,0,0,0,0.28,93.1,57.2,74.9,84,26,48
El Dorado,7/18/2016,38.96741,-120.9375,2016-07-18T09:50:00Z,,5646,El Dorado,38.753136,-120.7336,13,0,0,0.57,2.28,81.4,57.6,70.1,50,21,30
Placer,7/18/2016,38.96741,-120.9375,2016-07-18T09:50:00Z,,5646,Placer,38.887603,-121.10291,195,0,0,0.87,2.02,85.8,56.7,70.9,69,23,45
San Diego,7/20/2016,32.9612,-116.7945,2016-07-20T13:45:00Z,,100,San Diego,33.08105,-116.9757,153,0,0,0.02,0.25,95.5,59.5,77.1,96,30,55
Siskiyou,7/20/2016,41.96191,-122.59328,2016-07-20T09:00:00Z,,26,Siskiyou,41.577778,-122.838125,225,0,0.07,1.24,2.13,88.8,43.7,67.8,95,19,47
Solano,7/22/2016,38.33475,-122.02564,2016-07-22T16:07:00Z,,57,Solano,38.501258,-121.97853,139,0,0,0.01,0.39,92.9,52.4,75.1,81,21,39
Siskiyou,7/22/2016,41.71847,-122.36924,2016-07-22T12:00:00Z,,23,Siskiyou,41.802476,-121.996159,236,0,6.13,7.74,12.62,81.1,34.1,61,95,18,43
Calaveras,7/22/2016,37.98171,-120.64241,2016-07-22T19:00:00Z,,57,Stanislaus,37.727194,-120.85086,194,0,0,0,0.27,93.9,52.2,73.9,80,20,42
Lake,7/22/2016,39.0863,-122.7891,2016-07-22T18:15:00Z,,69,Mendocino,38.982581,-123.08928,106,0.14,1.64,2.87,3.78,90.8,44.7,68.1,93,28,55
Monterey,7/23/2016,35.85093,-120.81081,2016-07-23T08:45:00Z,,100,Monterey,36.121083,-121.08457,113,0,0,0.02,0.05,96,43.7,68,90,22,48
El Dorado,7/23/2016,38.79549,-121.00299,2016-07-23T18:00:00Z,,50,El Dorado,38.753136,-120.7336,13,0,0,0.41,1.19,95.4,62.7,79.9,27,10,16
San Diego,7/24/2016,33.00056,-116.9571,2016-07-24T14:30:00Z,,28,San Diego,33.08105,-116.9757,153,0,0,0.02,0.25,91.9,60.4,76.4,89,39,63
Contra Costa,7/24/2016,38.01264,-122.1885,2016-07-24T19:00:00Z,,40,Contra Costa,37.931539,-122.302714,213,0,0.13,0.38,0.86,65.8,52.8,57.4,94,69,83
San Diego,7/30/2016,33.393,-117.35093,2016-07-30T14:15:00Z,,1245,San Diego,33.08105,-116.9757,153,0,0,0,0.21,89.8,64.4,75,96,49,74
Madera,7/31/2016,37.24006,-119.4741,2016-07-31T18:55:00Z,,38,Madera,37.02,-120.15,188,0,0,0,0,101.1,60.7,80.7,82,19,44
Santa Clara,7/31/2016,37.41896,-121.79669,2016-07-31T18:30:00Z,,114,Santa Clara,37.015026,-121.53704,211,0,0,0,0.35,80.1,55,63.5,97,50,78
Tuolumne,8/1/2016,37.81434,-120.69521,2016-08-01T08:05:00Z,,32,Stanislaus,37.727194,-120.85086,194,0,0,0,0.23,92,57.2,73.8,88,29,51
Butte,8/3/2016,39.6708,-121.7192,2016-08-03T08:00:00Z,,550,Butte,39.608639,-121.82443,12,0,0,0.32,1.16,95.2,59.5,77.2,96,32,59
Tehama,8/4/2016,40.19611,-122.26736,2016-08-04T07:50:00Z,,80,Tehama,40.040006,-122.154539,222,0,0,0.7,1.76,90,61.8,76.4,83,30,53
Madera,8/6/2016,37.3228,-119.7738,2016-08-06T19:50:00Z,,85,Madera,37.02,-120.15,188,0,0,0,0,95.6,49.5,73.4,93,17,45
Amador,8/6/2016,38.2581,-120.8657,2016-08-06T10:06:00Z,,26,Amador,38.508333,-120.79972,227,0,0,0,0.44,85.7,53.4,69.4,74,22,42
Kern,8/7/2016,35.24504,-118.60344,2016-08-07T20:15:00Z,,100,Kern,35.205583,-118.77841,125,0,0,0.12,0.12,94.7,61.3,79.7,61,19,35
Fresno,8/9/2016,37.01591,-119.50507,2016-08-09T18:30:00Z,,2241,Fresno,36.820833,-119.74231,80,0,0,0.08,0.08,94.3,59.6,77.8,64,16,34
Shasta,8/10/2016,40.61213,-122.47091,2016-08-10T17:00:00Z,,35,Shasta,40.63,-122.31,224,0,0,1.62,2.33,96.8,,84.9,58,14,24
Lake,8/10/2016,36.09974,-120.51057,2016-08-10T17:00:00Z,,45,Fresno,36.175833,-120.36027,205,0,0,0,0.15,96.3,67.1,82,37,10,22
Lake,8/10/2016,38.68403,-122.26015,2016-08-10T17:00:00Z,,36,Yolo,38.691786,-122.01381,196,0,0,0.01,0.73,96.7,60.6,77.9,76,22,44
San Diego,8/11/2016,33.22558,-117.14547,2016-08-11T18:30:00Z,,35,San Diego,33.08105,-116.9757,153,0,0,0,0.02,88,63.8,72.6,86,45,67
Yolo,8/12/2016,38.52513,-122.06788,2016-08-12T15:00:00Z,,5731,Yolo,38.691786,-122.01381,196,0,0,0.01,0.73,101.3,59.1,80.9,79,15,35
Santa Clara,8/14/2016,37.06531,-121.68577,2016-08-14T19:50:00Z,,25,Santa Clara,37.015026,-121.53704,211,0,0,0,0,93.8,52.4,68.6,91,23,57
San Bernardino,8/16/2016,34.28771,-117.27338,2016-08-16T08:00:00Z,,8110,San Bernardino,34.255942,-117.21814,192,0,0,0,0.32,83.4,43.3,69.6,67,7,16
Humboldt,8/16/2016,40.4572,-124.05804,2016-08-16T08:45:00Z,,23,Shasta,40.63,-122.31,224,0,0,1.26,2.33,106.3,58.7,82.9,71,12,32
Fresno,8/18/2016,36.09974,-120.51057,2016-08-18T19:00:00Z,,7050,Fresno,36.175833,-120.36027,205,0,0,0,0.15,101.9,67.3,85.9,28,7,16
Yuba,8/18/2016,36.16965,-121.38775,2016-08-18T21:30:00Z,,400,Yuba,39.252561,-121.31567,84,0,0,0,0.16,96.4,67.5,81.9,60,29,43
Humboldt,8/19/2016,40.9878,-123.77832,2016-08-19T08:30:00Z,,21,Siskiyou,41.577778,-122.838125,225,0,0.09,0.16,1.33,101.3,51.9,77.6,87,16,38
San Joaquin,8/20/2016,37.62215,-121.36665,2016-08-20T18:45:00Z,,147,San Joaquin,37.725881,-121.47552,167,0,0,0,0,93,57,74.4,83,20,45
San Bernardino,8/23/2016,34.30372,-117.49342,2016-08-23T07:45:00Z,,36274,San Bernardino,34.255942,-117.21814,192,0,0,0,0.26,77,46.5,62.8,77,26,46
Lake,8/26/2016,38.89741,-122.60664,2016-08-26T18:00:00Z,,3929,Mendocino,38.982581,-123.08928,106,0,1.66,3.37,3.88,78.6,55.2,63.1,91,52,76
Kern,8/28/2016,35.4976,-118.5097,2016-08-28T18:50:00Z,,304,Kern,35.205583,-118.77841,125,0,0,0,0.12,93.8,61.6,77.9,71,30,47
Siskiyou,8/28/2016,41.851,-123.118,2016-08-28T18:15:00Z,,33867,Siskiyou,41.577778,-122.838125,225,0,0.07,0.13,1.01,92.8,44.8,68.8,89,20,45
Kern,8/29/2016,35.2013,-118.7212,2016-08-29T10:30:00Z,,518,Kern,35.205583,-118.77841,125,0,0,0,0.12,96.2,63.8,80.7,72,30,47
Alpine,8/30/2016,38.57554,-120.00606,2016-08-30T12:05:00Z,,0,Alpine,38.773409,-119.79193,246,0,0.28,0.53,2.93,87.8,52.9,74.5,28,9,14
Butte,8/30/2016,39.79547,-121.71662,2016-08-30T18:40:00Z,,88,Butte,39.608639,-121.82443,12,0,0,0,0.32,87.8,56.6,70,91,39,67
Siskiyou,8/30/2016,41.7813,-122.611,2016-08-30T06:45:00Z,,710,Siskiyou,41.577778,-122.838125,225,0,0.07,0.13,1.01,84.2,49.1,66.2,73,20,44
Mendocino,8/31/2016,39.8748511,-123.4267011,2016-08-31T07:15:00Z,,36,Mendocino,38.982581,-123.08928,106,0,1.68,3.21,3.86,84.1,46.3,65.2,89,32,62
Calaveras,8/31/2016,38.1874,-120.6381,2016-08-31T18:50:00Z,,450,Amador,38.508333,-120.79972,227,0,0.14,0.14,0.14,84.4,56.8,70,65,25,41
Lake,8/31/2016,39.1408865,-122.9148951,2016-08-31T07:05:00Z,,20,Mendocino,38.982581,-123.08928,106,0,1.68,3.21,3.86,84.1,46.3,65.2,89,32,62
Santa Clara,9/2/2016,37.11831,-121.69784,2016-09-02T06:55:00Z,,25,Santa Clara,37.015026,-121.53704,211,0,0,0,0,84.7,50.1,62.4,100,41,77
San Bernardino,9/4/2016,34.25858,-117.4415,2016-09-04T18:55:00Z,,20,San Bernardino,34.255942,-117.21814,192,0,0,0,0.17,64.7,48,56.9,93,33,57
Humboldt,9/4/2016,41.28486,-123.82268,2016-09-04T06:55:00Z,,599,Siskiyou,41.577778,-122.838125,225,0,0.06,0.14,0.74,70.1,33.3,53,93,29,57
Orange,9/5/2016,33.6542,-117.5221,2016-09-05T06:55:00Z,,150,Orange,33.621667,-117.585278,245,0,0.27,0.51,0.6,75.1,56,65.2,91,56,71
San Luis Obispo,9/6/2016,35.70595,-120.98316,2016-09-06T07:30:00Z,,46344,San Luis Obispo,35.472556,-120.64814,163,0,0.14,0.21,0.28,92.7,43.9,67.6,88,15,39
Fresno,9/6/2016,36.84479,-119.34487,2016-09-06T18:15:00Z,,158,Fresno,36.721083,-119.38903,142,0,0,0,0.03,92,55.9,74.6,72,18,34
San Bernardino,9/9/2016,34.3183,-117.3189,2016-09-09T06:00:00Z,,50,San Bernardino,34.255942,-117.21814,192,0,0,0,0,78.2,48.3,65.4,93,37,52
Sacramento,9/12/2016,38.558,-121.1309,2016-09-12T19:00:00Z,,40,Sacramento,38.649964,-121.21887,131,0,0,0,0,75.6,52.5,61.4,89,42,69
Butte,9/12/2016,39.6871,-121.571,2016-09-12T14:51:00Z,,850,Butte,39.608639,-121.82443,12,0,0,0,0.32,75.6,51.5,62.5,95,50,74
Shasta,9/12/2016,40.68192,-122.4096,2016-09-12T19:00:00Z,,75,Shasta,40.63,-122.31,224,0,0,0,1.62,88.6,51.1,68.5,88,12,43
Tehama,9/13/2016,40.30594,-122.1295,2016-09-13T14:30:00Z,,360,Tehama,40.040006,-122.154539,222,0,0,0,0.7,72.8,49.7,61.1,90,51,69
Siskiyou,9/13/2016,41.6314,-122.7933,2016-09-13T18:30:00Z,,32,Siskiyou,41.577778,-122.838125,225,0,0.04,0.11,0.74,78.7,32.5,56,82,17,41
Modoc,9/14/2016,41.4657,-120.9066,2016-09-14T18:00:00Z,,380,Modoc,41.438214,-120.48031,90,0,0.18,0.18,0.88,70.1,30.5,50.2,93,13,45
Mendocino,9/15/2016,39.7299,-123.5044,2016-09-15T09:10:00Z,,50,Mendocino,38.982581,-123.08928,106,0.17,1.58,3.21,4.63,85.7,42.4,62.3,94,17,51
Del Norte,9/17/2016,37.75972,-120.029626,2016-09-17T18:00:00Z,,150,Merced,37.314139,-120.3867,148,0,0,0,0,93.5,47.8,69.8,96,21,51
Inyo,9/18/2016,37.75985,-118.95309,2016-09-18T08:10:00Z,,5443,Inyo,37.358514,-118.40553,35,0,0,0.08,0.14,90.7,38.5,66.4,73,11,25
Butte,9/19/2016,39.8851,-121.6998,2016-09-19T18:30:00Z,,30,Butte,39.608639,-121.82443,12,0,0,0,0,94.5,58,76,95,29,52
Sutter,9/20/2016,39.188321,-121.78003,2016-09-20T18:00:00Z,,300,Sutter,38.797944,-121.61136,235,0,0,0,0,89.2,57.8,72.1,71,24,45
Nevada,9/20/2016,39.20427,-121.05948,2016-09-20T18:00:00Z,,47,Yuba,39.252561,-121.31567,84,0,0,0,0,90.1,70.6,80,37,14,24
Lassen,9/22/2016,40.3915,-120.7845,2016-09-22T07:00:00Z,,2575,Lassen,40.289799,-120.433948,57,0.02,0.04,0.04,0.04,59.5,37,49.2,76,35,50
Butte,9/23/2016,39.4403,-121.42647,2016-09-23T10:30:00Z,,130,Butte,39.386632,-121.835278,244,0,0,0,0,83.7,45.7,65.6,87,24,51
Fresno,9/24/2016,36.6543,-119.5327,2016-09-24T20:00:00Z,,70,Fresno,36.597444,-119.50404,39,0,0,0,0.01,84.2,48.7,65.8,82,22,49
Amador,9/25/2016,38.5212,-120.8416,2016-09-25T17:45:00Z,,45,Amador,38.508333,-120.79972,227,0,4.61,4.75,4.75,70.5,62,67,59,14,35
Shasta,9/25/2016,40,-121.93923,2016-09-25T13:15:00Z,,100,Shasta,40.63,-122.31,224,0,0,0,0,102.5,61.7,83.4,46,8,16
Santa Barbara,9/27/2016,34.63445,-120.54421,2016-09-27T14:00:00Z,,12518,Santa Barbara,34.672222,-120.51306,231,0,0,0,0,97.9,52.3,68.9,73,18,44
Santa Barbara,9/27/2016,34.75134,-120.55297,2016-09-27T14:00:00Z,,215,Santa Barbara,34.672222,-120.51306,231,0,0,0,0,97.9,52.3,68.9,73,18,44
Sonoma,9/29/2016,38.80017,-122.82895,2016-09-29T17:00:00Z,,1547,Sonoma,38.52665,-122.813758,103,0,0,0,0,73.1,50.2,56.3,99,51,82
Kern,10/1/2016,35.7506,-118.5678,2016-10-01T06:00:00Z,,29322,Kern,35.205583,-118.77841,125,0,0,0,0,76,52.8,65.6,68,32,44
Tuolumne,10/4/2016,37.79635,-120.32484,2016-10-04T22:00:00Z,,1080,Stanislaus,37.727194,-120.85086,194,0,0,0,0,74.3,44.3,57.9,91,39,63
Plumas,10/6/2016,39.92,-121.32,2016-10-06T17:15:00Z,,248,Butte,39.608639,-121.82443,12,0,0.01,0.01,0.01,79.7,46.4,60.5,89,24,52
Napa,10/12/2016,38.40958,-122.43172,2016-10-12T18:00:00Z,,65,Napa,38.428475,-122.41021,77,0,0.01,0.01,0.01,72.7,40.8,54.8,97,57,81
Monterey,10/13/2016,36.45994,-121.89938,2016-10-13T11:30:00Z,,132127,Monterey,36.540889,-121.88196,210,0,0,0.02,0.02,67.6,44.9,55.3,97,62,85
Modoc,10/13/2016,41.2649,-120.3178,2016-10-13T11:30:00Z,,2652,Modoc,41.438214,-120.48031,90,0,0.2,0.38,0.38,68.1,42.6,55.2,79,26,44
El Dorado,10/17/2016,38.93449,-120.10744,2016-10-17T11:45:00Z,,176,El Dorado,38.753136,-120.7336,13,0.01,5.54,5.54,5.54,60.1,45.4,51.3,94,56,77
Fresno,10/20/2016,36.94536,-119.25959,2016-10-20T07:00:00Z,,2100,Fresno,36.721083,-119.38903,142,0,0,0,0,81.5,53,69.4,97,28,42
Tulare,11/8/2016,36.1648,-118.73906,2016-11-08T10:15:00Z,,395,Tulare,36.082056,-119.09342,169,,0,0,0,,,,,,
Siskiyou,11/8/2016,41.623,-123.557,2016-11-08T10:15:00Z,,2860,Siskiyou,41.577778,-122.838125,225,0,5.43,5.65,5.69,73.2,36.8,48.7,100,37,83
San Diego,11/14/2016,33.254355,-117.158475,2016-11-14T18:00:00Z,,28,San Diego,33.08105,-116.9757,153,0,0.1,0.58,0.58,87.8,41.5,61.1,86,26,52
Los Angeles,11/14/2016,34.31,-118.335,2016-11-14T14:00:00Z,,4824,Los Angeles,34.256111,-118.38278,216,0,0.35,0.41,0.79,91.7,58.6,71.7,95,1,43
Tulare,12/19/2016,35.984,-118.551,2016-12-19T13:30:00Z,,4347,Tulare,36.082056,-119.09342,169,,0,0,0,,,,,,
Tulare,12/19/2016,36.217,-118.551,2016-12-19T13:30:00Z,,10,Tulare,36.3605,-119.05935,86,0.01,2.42,3.32,3.32,53.9,30,39.7,100,70,92
Santa Clara,9/19/2017,37.10632,-121.85318,2017-09-19T10:30:00Z,,4474,Santa Clara,37.015026,-121.53704,211,0,0,0,0,76.9,50.8,63.7,86,33,59
San Diego,1/9/2018,32.59252,-116.61609,2018-01-09T13:19:00Z,,25,San Diego,32.628208,-116.93928,147,1.35,1.63,1.66,1.9,60.7,50.2,54.4,99,68,91
San Diego,1/9/2018,32.6001,-116.76997,2018-01-09T12:50:00Z,,130,San Diego,32.628208,-116.93928,147,1.35,1.63,1.66,1.9,60.7,50.2,54.4,99,68,91
San Diego,1/9/2018,32.64962,-116.37345,2018-01-09T13:41:00Z,,100,San Diego,32.628208,-116.93928,147,1.35,1.63,1.66,1.9,60.7,50.2,54.4,99,68,91
San Diego,1/9/2018,32.65003,-116.42907,2018-01-09T12:43:00Z,,200,San Diego,32.628208,-116.93928,147,1.35,1.63,1.66,1.9,60.7,50.2,54.4,99,68,91
San Diego,1/9/2018,32.65597,-116.80527,2018-01-09T10:06:00Z,,2056,San Diego,32.628208,-116.93928,147,1.35,1.63,1.66,1.9,60.7,50.2,54.4,99,68,91
San Diego,1/9/2018,32.679,-116.29296,2018-01-09T10:10:00Z,,25,San Diego,32.628208,-116.93928,147,1.35,1.63,1.66,1.9,60.7,50.2,54.4,99,68,91
San Diego,1/9/2018,32.7789,-116.8516,2018-01-09T11:09:00Z,,25,San Diego,32.628208,-116.93928,147,1.35,1.63,1.66,1.9,60.7,50.2,54.4,99,68,91
San Diego,1/9/2018,32.84796,-116.85396,2018-01-09T11:52:00Z,,400,San Diego,32.628208,-116.93928,147,1.35,1.63,1.66,1.9,60.7,50.2,54.4,99,68,91
San Diego,1/9/2018,33.1683,-116.77342,2018-01-09T11:07:00Z,,36,San Diego,33.08105,-116.9757,153,1.69,1.73,1.74,1.74,59.1,46.5,51.5,100,86,98
San Diego,1/9/2018,33.18716,-116.50897,2018-01-09T13:40:00Z,,25,San Diego,33.268447,-116.36505,207,0,0,0,0,66.5,49.7,58,90,37,73
San Diego,1/9/2018,33.20988,-116.46989,2018-01-09T12:44:00Z,,62,San Diego,33.268447,-116.36505,207,0,0,0,0,66.5,49.7,58,90,37,73
San Diego,1/9/2018,33.23281,-117.29509,2018-01-09T10:32:00Z,,50,San Diego,33.08105,-116.9757,153,1.69,1.73,1.74,1.74,59.1,46.5,51.5,100,86,98
San Diego,1/9/2018,33.3237,-117.163,2018-01-09T13:47:00Z,,4100,San Diego,33.08105,-116.9757,153,1.69,1.73,1.74,1.74,59.1,46.5,51.5,100,86,98
San Diego,1/9/2018,33.34988,-117.39818,2018-01-09T10:17:00Z,,1000,San Diego,33.08105,-116.9757,153,1.69,1.73,1.74,1.74,59.1,46.5,51.5,100,86,98
San Diego,1/9/2018,33.38613,-117.46709,2018-01-09T13:38:00Z,,81,San Diego,33.08105,-116.9757,153,1.69,1.73,1.74,1.74,59.1,46.5,51.5,100,86,98
San Diego,1/9/2018,33.3906,-117.32348,2018-01-09T10:06:00Z,,486,San Diego,33.08105,-116.9757,153,1.69,1.73,1.74,1.74,59.1,46.5,51.5,100,86,98
San Diego,1/9/2018,33.402411,-117.402445,2018-01-09T13:41:00Z,,1088,San Diego,33.08105,-116.9757,153,1.69,1.73,1.74,1.74,59.1,46.5,51.5,100,86,98
San Diego,1/9/2018,33.43513,-117.58252,2018-01-09T11:10:00Z,,0,San Diego,32.901867,-117.25046,173,0.75,1.21,1.26,1.28,63,54.2,58.1,99,77,92
Riverside,1/9/2018,33.50488,-117.02132,2018-01-09T13:32:00Z,,23,Riverside,33.55281,-117.043302,237,2.16,2.94,3.01,3.02,57.9,48.8,52.1,86,71,84
Riverside,1/9/2018,33.52584,-116.85226,2018-01-09T10:32:00Z,,20,Riverside,33.55281,-117.043302,237,2.16,2.94,3.01,3.02,57.9,48.8,52.1,86,71,84
Riverside,1/9/2018,33.530045,-116.594422,2018-01-09T11:08:00Z,,6309,Riverside,33.678186,-116.27299,208,,0.01,0.02,0.02,,,,,,
Riverside,1/9/2018,33.56777,-116.08003,2018-01-09T09:50:00Z,,15,Riverside,33.595694,-116.15811,218,0.32,0.32,0.32,0.32,69.4,47,57.1,96,50,80
Riverside,1/9/2018,33.57139,-116.8247,2018-01-09T12:23:00Z,,92,Riverside,33.664747,-116.955121,239,2.37,2.67,2.75,2.76,58.7,48.5,51.8,94,78,89
Riverside,1/9/2018,33.584036,-116.972036,2018-01-09T10:32:00Z,,33,Riverside,33.55281,-117.043302,237,2.16,2.94,3.01,3.02,57.9,48.8,52.1,86,71,84
Riverside,1/9/2018,33.58577,-116.07429,2018-01-09T10:21:00Z,,48,Riverside,33.595694,-116.15811,218,0.32,0.32,0.32,0.32,69.4,47,57.1,96,50,80
Riverside,1/9/2018,33.59257,-117.14979,2018-01-09T13:47:00Z,,300,Riverside,33.663325,-117.09338,179,,0,0.04,0.04,,,,,,
Riverside,1/9/2018,33.60247,-117.34192,2018-01-09T13:45:00Z,,866,Riverside,33.48665,-117.22827,62,1.79,2.15,2.15,2.17,57.1,49.1,52.5,96,87,95
Riverside,1/9/2018,33.62613,-117.07975,2018-01-09T11:54:00Z,,32,Riverside,33.663325,-117.09338,179,,0,0.04,0.04,,,,,,
Riverside,1/9/2018,33.6444,-117.3968,2018-01-09T12:45:00Z,,46,Riverside,33.76,-117.2,240,1.72,2.03,2.07,2.07,56.7,49.5,53.4,100,82,95
Riverside,1/9/2018,33.689092,-117.396404,2018-01-09T12:15:00Z,,200,Riverside,33.76,-117.2,240,1.72,2.03,2.07,2.07,56.7,49.5,53.4,100,82,95
Riverside,1/9/2018,33.71025,-117.31924,2018-01-09T10:59:00Z,,26,Riverside,33.76,-117.2,240,1.72,2.03,2.07,2.07,56.7,49.5,53.4,100,82,95
Riverside,1/9/2018,33.73547,-117.33364,2018-01-09T13:19:00Z,,34,Riverside,33.76,-117.2,240,1.72,2.03,2.07,2.07,56.7,49.5,53.4,100,82,95
Riverside,1/9/2018,33.74925,-117.10301,2018-01-09T13:28:00Z,,35,Riverside,33.76,-117.2,240,1.72,2.03,2.07,2.07,56.7,49.5,53.4,100,82,95
Riverside,1/9/2018,33.75526,-117.25075,2018-01-09T12:01:00Z,,72,Riverside,33.76,-117.2,240,1.72,2.03,2.07,2.07,56.7,49.5,53.4,100,82,95
