Counties (Location),FormattedDate,Wildfire_Probability,County (Actual Location),Stn Id,Norm Precip (in),Norm precip30 (in),Norm precip60 (in),Norm precip90 (in),Norm Avg Air Temp (F),Norm Avg Rel Hum (%),,,,,,,,,,,,,,,,,,,,,,,,,,
Merced,6/25/2016,1,Merced,92,0,0,0.015320334,0.018659881,0.715646259,0.244680851,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Mono,6/25/2016,1,Inyo,35,0,0.07136322,0.040389972,0.054566016,0.682993197,0.223404255,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Lake,6/26/2016,1,Colusa,32,0,0.006404392,0.028899721,0.029403449,0.746938776,0.457446809,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Orange,6/26/2016,1,Orange,75,0,0,0.004178273,0.004240882,0.620408163,0.723404255,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Yolo,6/26/2016,1,Yolo,196,0,0.000914913,0.033426184,0.036754312,0.853061224,0.265957447,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
San Diego,6/27/2016,1,San Diego,147,0,0.01189387,0.033774373,0.056545095,0.65170068,0.659574468,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
San Luis Obispo,6/27/2016,1,San Luis Obispo,163,0,0.019213175,0.024373259,0.043539723,0.806802721,0.191489362,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Amador,6/28/2016,1,Amador,227,0,0,0.025069638,0.104042974,0.756462585,0.265957447,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
El Dorado,6/28/2016,1,El Dorado,13,0,0,0.03586351,0.09867119,0.793197279,0.170212766,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Placer,6/28/2016,1,Placer,195,0,0,0.04143454,0.077184054,0.846258503,0.212765957,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Tehama,6/30/2016,1,Tehama,222,0,0.064043916,0.066504178,0.076335878,0.797278912,0.414893617,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Ventura,6/30/2016,1,Ventura,198,0,0,0,0,0.546938776,0.808510638,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Fresno,7/1/2016,1,Fresno,205,0,0,0.015320334,0.022335312,0.854421769,0.138297872,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Inyo,7/1/2016,1,Inyo,183,0,0.009149131,0.004178273,0.01187447,0.82585034,0.20212766,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Kern,7/1/2016,1,Kern,125,0,0.010978957,0.017061281,0.059655075,0.827210884,0.29787234,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Tehama,7/1/2016,1,Tehama,222,0,0.064043916,0.066504178,0.076335878,0.772789116,0.510638298,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Ventura,7/1/2016,1,Ventura,217,0,0.187557182,0.153899721,0.186598813,0.579591837,0.723404255,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Calaveras,7/2/2016,1,Stanislaus,194,0,0,0.008008357,0.055979644,0.715646259,0.457446809,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Fresno,7/4/2016,1,Fresno,205,0,0,0.015320334,0.022335312,0.782312925,0.191489362,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Madera,7/4/2016,1,Madera,188,0,0,0,0.039581566,-0.340136054,-0.063829787,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Santa Barbara,7/8/2016,1,Santa Barbara,88,0,0,0,0.038167939,0.678911565,0.319148936,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Calaveras,7/9/2016,1,Stanislaus,194,0,0,0,0.012439921,0.63537415,0.531914894,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Kern,7/10/2016,1,Kern,125,0,0.010978957,0.004178273,0.029686175,0.693877551,0.372340426,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Fresno,7/11/2016,1,Fresno,142,0,0.002744739,0.001392758,0.012157195,0.693877551,0.265957447,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Shasta,7/11/2016,1,Shasta,224,0,0.148215919,0.081128134,0.115634719,0.691156463,0.223404255,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Calaveras,7/12/2016,1,Stanislaus,194,0,0,0,0.00876449,0.665306122,0.361702128,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Fresno,7/12/2016,1,Fresno,80,0,0.007319305,0.002785515,0.028837998,0.726530612,0.255319149,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Kern,7/13/2016,1,Kern,125,0,0.010978957,0.004178273,0.029686175,0.767346939,0.29787234,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Yolo,7/13/2016,1,Yolo,196,0,0.000914913,0.025417827,0.031382528,0.813605442,0.276595745,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Kern,7/15/2016,1,Kern,5,0,0,0.000696379,0.015832627,0.778231293,0.361702128,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Los Angeles,7/15/2016,1,Los Angeles,204,0,0,0,0.001413627,0.702040816,0.329787234,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Ventura,7/15/2016,1,Ventura,198,0,0,0,0,0.568707483,0.808510638,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Siskiyou,7/18/2016,1,Siskiyou,225,0,0.009149131,0.044568245,0.060220526,0.582312925,0.468085106,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Calaveras,7/19/2016,1,Stanislaus,194,0,0,0,0.007916313,0.632653061,0.425531915,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
San Diego,7/19/2016,1,San Diego,153,0,0,0.000696379,0.007068137,0.650340136,0.64893617,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Lake,7/21/2016,1,Mendocino,106,0,0.137236962,0.09505571,0.11931015,0.542857143,0.531914894,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
San Diego,7/21/2016,1,San Diego,153,0,0,0.000696379,0.007068137,0.733333333,0.457446809,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Siskiyou,7/21/2016,1,Siskiyou,236,0,0.56084172,0.270194986,0.368956743,0.506122449,0.329787234,,,,,,,,,,,,,,,,,,,,,,,,,,
Contra Costa,7/22/2016,1,Contra Costa,213,0,0.01189387,0.014275766,0.024314391,0.466666667,0.787234043,,,,,,,,,,,,,,,,,,,,,,,,,,
El Dorado,7/22/2016,1,El Dorado,13,0,0,0.015320334,0.033644331,0.703401361,0.170212766,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresno,7/22/2016,1,Fresno,80,0,0,0.002785515,0.021769861,0.730612245,0.255319149,,,,,,,,,,,,,,,,,,,,,,,,,,
Monterey,7/22/2016,1,Monterey,210,0,0,0.000348189,0.009895392,0.446258503,0.787234043,,,,,,,,,,,,,,,,,,,,,,,,,,
Monterey,7/22/2016,1,Monterey,113,0,0,0.000696379,0.001413627,0.593197279,0.382978723,,,,,,,,,,,,,,,,,,,,,,,,,,
Solano,7/22/2016,1,Solano,139,0,0,0.000348189,0.011026293,0.681632653,0.35106383,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego,7/24/2016,1,San Diego,153,0,0,0.000696379,0.007068137,0.699319728,0.606382979,,,,,,,,,,,,,,,,,,,,,,,,,,
Madera,7/29/2016,1,Madera,188,0,0,0,0,0.801360544,0.382978723,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara,7/30/2016,1,Santa Clara,211,0,0,0,0.009895392,0.529251701,0.70212766,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuolumne,7/30/2016,1,Stanislaus,194,0,0,0,0.006502686,0.783673469,0.287234043,,,,,,,,,,,,,,,,,,,,,,,,,,
Butte,8/2/2016,1,Butte,12,0,0,0.011142061,0.032796155,0.642176871,0.659574468,,,,,,,,,,,,,,,,,,,,,,,,,,
Yolo,8/2/2016,1,Yolo,196,0,0,0.000348189,0.02685892,0.854421769,0.29787234,,,,,,,,,,,,,,,,,,,,,,,,,,
Amador,8/4/2016,1,Amador,227,0,0,0,0.017528979,0.595918367,0.393617021,,,,,,,,,,,,,,,,,,,,,,,,,,
Tehama,8/4/2016,1,Tehama,222,0,0,0.024373259,0.049759683,0.699319728,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Kern,8/5/2016,1,Kern,125,0,0,0.004178273,0.003392706,0.74829932,0.35106383,,,,,,,,,,,,,,,,,,,,,,,,,,
Madera,8/5/2016,1,Madera,188,0,0,0,0,0.644897959,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,8/7/2016,1,San Bernardino,192,0,0,0.002089136,0.009329941,0.582312925,0.319148936,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresno,8/9/2016,1,Fresno,205,0,0,0,0.004240882,0.8,0.180851064,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,8/9/2016,1,Yolo,196,0,0,0.000348189,0.02063896,0.730612245,0.35106383,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,8/9/2016,1,Fresno,205,0,0,0,0.004240882,0.8,0.180851064,,,,,,,,,,,,,,,,,,,,,,,,,,
Shasta,8/9/2016,1,Shasta,224,0,0,0.056406685,0.065875035,0.740136054,0.244680851,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego,8/10/2016,1,San Diego,153,0,0,0,0.000565451,0.604081633,0.659574468,,,,,,,,,,,,,,,,,,,,,,,,,,
Humboldt,8/11/2016,1,Shasta,224,0,0,0.056406685,0.065875035,0.761904762,0.276595745,,,,,,,,,,,,,,,,,,,,,,,,,,
Humboldt,8/12/2016,1,Siskiyou,225,0,0.006404392,0.024373259,0.038167939,0.663945578,0.372340426,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara,8/12/2016,1,Santa Clara,211,0,0,0,0,0.515646259,0.755319149,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,8/13/2016,1,Mendocino,106,0,0.149130833,0.100626741,0.130336443,0.670748299,0.361702128,,,,,,,,,,,,,,,,,,,,,,,,,,
San Luis Obispo,8/13/2016,1,San Luis Obispo,163,0,0.010978957,0.00591922,0.015549901,0.654421769,0.372340426,,,,,,,,,,,,,,,,,,,,,,,,,,
Kern,8/16/2016,1,Kern,125,0,0,0.004178273,0.003392706,0.801360544,0.223404255,,,,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,8/16/2016,1,San Bernardino,192,0,0,0,0.009047215,0.606802721,0.106382979,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuba,8/17/2016,1,Yuba,84,0,0,0,0.004523608,0.787755102,0.361702128,,,,,,,,,,,,,,,,,,,,,,,,,,
Butte,8/18/2016,1,Butte,12,0,0,0,0.010178117,0.703401361,0.659574468,,,,,,,,,,,,,,,,,,,,,,,,,,
Mendocino,8/18/2016,1,Mendocino,106,0.21875,0.161939616,0.109331476,0.132598247,0.621768707,0.542553191,,,,,,,,,,,,,,,,,,,,,,,,,,
San Joaquin,8/20/2016,1,San Joaquin,167,0,0,0,0,0.672108844,0.414893617,,,,,,,,,,,,,,,,,,,,,,,,,,
Humboldt,8/22/2016,1,Siskiyou,225,0,0.005489478,0.005571031,0.037037037,0.613605442,0.329787234,,,,,,,,,,,,,,,,,,,,,,,,,,
Tulare,8/22/2016,1,Tulare,169,0,0,0,0,0.71292517,0.372340426,,,,,,,,,,,,,,,,,,,,,,,,,,
Siskiyou,8/24/2016,1,Siskiyou,225,0,0.005489478,0.004526462,0.028272547,0.572789116,0.308510638,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine,8/26/2016,1,Alpine,246,0,0.032021958,0.018454039,0.083121289,0.559183673,0.212765957,,,,,,,,,,,,,,,,,,,,,,,,,,
Kern,8/26/2016,1,Kern,125,0,0,0,0.003392706,0.730612245,0.29787234,,,,,,,,,,,,,,,,,,,,,,,,,,
Siskiyou,8/27/2016,1,Siskiyou,225,0,0.006404392,0.004526462,0.028555273,0.598639456,0.340425532,,,,,,,,,,,,,,,,,,,,,,,,,,
Kern,8/28/2016,1,Kern,125,0,0,0,0.003392706,0.719727891,0.436170213,,,,,,,,,,,,,,,,,,,,,,,,,,
Calaveras,8/30/2016,1,Amador,227,0,0.012808783,0.004874652,0.003958157,0.629931973,0.340425532,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,8/30/2016,1,Mendocino,106,0,0.153705398,0.111768802,0.112242013,0.606802721,0.510638298,,,,,,,,,,,,,,,,,,,,,,,,,,
Mendocino,8/30/2016,1,Mendocino,106,0,0.153705398,0.111768802,0.112242013,0.606802721,0.510638298,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara,8/30/2016,1,Santa Clara,211,0,0,0,0,0.613605442,0.510638298,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange,8/31/2016,1,Orange,245,0.020833333,0.025617566,0.01775766,0.016680803,0.672108844,0.670212766,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresno,9/3/2016,1,Fresno,142,0,0,0,0.000848176,0.684353741,0.319148936,,,,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,9/3/2016,1,San Bernardino,192,0,0,0,0.004806333,0.495238095,0.446808511,,,,,,,,,,,,,,,,,,,,,,,,,,
Butte,9/5/2016,1,Butte,12,0,0,0,0.009047215,0.56462585,0.606382979,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,9/7/2016,1,Yuba,84,0,0,0,0.001130902,0.715646259,0.308510638,,,,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,9/7/2016,1,San Bernardino,192,0,0,0,0,0.48707483,0.414893617,,,,,,,,,,,,,,,,,,,,,,,,,,
Shasta,9/10/2016,1,Shasta,224,0,0,0,0.045801527,0.689795918,0.287234043,,,,,,,,,,,,,,,,,,,,,,,,,,
Lassen,9/11/2016,1,Lassen,57,0,0,0,0.001696353,0.621768707,0.212765957,,,,,,,,,,,,,,,,,,,,,,,,,,
Modoc,9/11/2016,1,Modoc,90,0,0.016468435,0.006267409,0.026576195,0.491156463,0.340425532,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento,9/11/2016,1,Sacramento,131,0,0,0,0,0.559183673,0.606382979,,,,,,,,,,,,,,,,,,,,,,,,,,
Siskiyou,9/12/2016,1,Siskiyou,225,0,0.003659652,0.003830084,0.020921685,0.589115646,0.138297872,,,,,,,,,,,,,,,,,,,,,,,,,,
Del Norte,9/13/2016,1,Merced,148,0,0,0,0,0.457142857,0.574468085,,,,,,,,,,,,,,,,,,,,,,,,,,
Tehama,9/13/2016,1,Tehama,222,0,0,0,0.019790783,0.491156463,0.670212766,,,,,,,,,,,,,,,,,,,,,,,,,,
Butte,9/16/2016,1,Butte,12,0,0,0,0.004806333,0.570068027,0.638297872,,,,,,,,,,,,,,,,,,,,,,,,,,
Inyo,9/17/2016,1,Inyo,35,0,0,0.002785515,0.003958157,0.497959184,0.319148936,,,,,,,,,,,,,,,,,,,,,,,,,,
Modoc,9/17/2016,1,Modoc,90,0,0.016468435,0.006267409,0.014136274,0.448979592,0.372340426,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,9/17/2016,1,Yuba,84,0,0,0,0,0.719727891,0.287234043,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Barbara,9/17/2016,1,Santa Barbara,231,0,0,0,0,0.474829932,0.85106383,,,,,,,,,,,,,,,,,,,,,,,,,,
Sutter,9/20/2016,1,Sutter,235,0,0,0,0,0.640816327,0.414893617,,,,,,,,,,,,,,,,,,,,,,,,,,
Butte,9/22/2016,1,Butte,244,0,0,0,0,0.51292517,0.553191489,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Barbara,9/22/2016,1,Santa Barbara,231,0,0,0,0,0.453061224,0.744680851,,,,,,,,,,,,,,,,,,,,,,,,,,
Amador,9/23/2016,1,Amador,227,0,0.421774931,0.165389972,0.1342946,0.48707483,0.29787234,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresno,9/23/2016,1,Fresno,39,0,0,0,0.000282725,0.497959184,0.521276596,,,,,,,,,,,,,,,,,,,,,,,,,,
Shasta,9/25/2016,1,Shasta,224,0,0,0,0,0.794557823,0.106382979,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonoma,9/25/2016,1,Sonoma,103,0,0,0,0,0.601360544,0.404255319,,,,,,,,,,,,,,,,,,,,,,,,,,
Plumas,9/26/2016,1,Butte,12,0,0,0,0,0.627210884,0.510638298,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara,9/26/2016,1,Santa Clara,211,0,0.03568161,0.013579387,0.011026293,0.657142857,0.29787234,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuolumne,9/26/2016,1,Stanislaus,194,0,0,0,0,0.704761905,0.35106383,,,,,,,,,,,,,,,,,,,,,,,,,,
Napa,10/10/2016,1,Napa,77,0,0.000914913,0.000348189,0.000282725,0.458503401,0.606382979,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresno,10/11/2016,1,Fresno,142,0,0,0,0,0.56462585,0.404255319,,,,,,,,,,,,,,,,,,,,,,,,,,
El Dorado,10/14/2016,1,El Dorado,13,0.927083333,0.0978957,0.037256267,0.030251626,0.39047619,0.819148936,,,,,,,,,,,,,,,,,,,,,,,,,,
Tulare,10/20/2016,1,Tulare,86,0,0,0,0,0.537414966,0.585106383,,,,,,,,,,,,,,,,,,,,,,,,,,
Tulare,10/29/2016,1,Tulare,169,0,0,0,0,-0.340136054,-0.063829787,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego,11/13/2016,1,San Diego,153,0,0.009149131,0.020194986,0.016398077,0.527891156,0.489361702,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,11/14/2016,1,Los Angeles,216,0,0.032021958,0.014275766,0.022335312,0.63537415,0.393617021,,,,,,,,,,,,,,,,,,,,,,,,,,
Lassen,2/7/2017,1,Lassen,57,0.75,0.622140897,0.374303621,0.329657902,0.318367347,0.617021277,,,,,,,,,,,,,,,,,,,,,,,,,,
Mariposa,4/3/2017,1,Merced,148,0,0.136322049,0.214832869,0.360757704,0.431292517,0.521276596,,,,,,,,,,,,,,,,,,,,,,,,,,
Siskiyou,4/13/2017,1,Siskiyou,225,0,0.246111619,0.183844011,0.288379983,0.216326531,0.819148936,,,,,,,,,,,,,,,,,,,,,,,,,,
Kings,4/20/2017,1,Kings,21,0,0.043915828,0.122562674,0.169352559,-0.340136054,-0.063829787,,,,,,,,,,,,,,,,,,,,,,,,,,
Siskiyou,4/24/2017,1,Siskiyou,225,0.020833333,0.156450137,0.120821727,0.249929319,0.319727891,0.755319149,,,,,,,,,,,,,,,,,,,,,,,,,,
Tulare,4/28/2017,1,Tulare,169,0,0.055809698,0.038300836,0.087927622,0.463945578,0.436170213,,,,,,,,,,,,,,,,,,,,,,,,,,
San Luis Obispo,4/29/2017,1,San Luis Obispo,202,0.03125,0.119853614,0.08913649,0.117896522,0.476190476,0.510638298,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Barbara,4/30/2017,1,Santa Barbara,64,0,0.019213175,0.025417827,0.206389596,0.484353741,0.468085106,,,,,,,,,,,,,,,,,,,,,,,,,,
Siskiyou,4/30/2017,1,Siskiyou,225,0,0.136322049,0.121518106,0.251342946,0.402721088,0.585106383,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinity,4/30/2017,1,Shasta,224,0,0.536139067,0.39867688,0.711620017,0.540136054,0.436170213,,,,,,,,,,,,,,,,,,,,,,,,,,
Lassen,5/1/2017,1,Lassen,57,0,0.152790485,0.097144847,0.267175573,0.424489796,0.35106383,,,,,,,,,,,,,,,,,,,,,,,,,,
Tulare,5/2/2017,1,Tulare,86,0,0.107044831,0.071030641,0.146734521,0.676190476,0.510638298,,,,,,,,,,,,,,,,,,,,,,,,,,
Madera,5/7/2017,1,Madera,188,0,0.04757548,0.030292479,0.08368674,0.46122449,0.670212766,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresno,5/12/2017,1,Fresno,205,0,0.022872827,0.033426184,0.050325134,0.470748299,0.468085106,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinity,5/12/2017,1,Shasta,224,0,0.296431839,0.397284123,0.467910659,0.439455782,0.361702128,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,5/14/2017,1,Los Angeles,216,0,0,0.01183844,0.121854679,-0.340136054,-0.063829787,,,,,,,,,,,,,,,,,,,,,,,,,,
Mariposa,5/14/2017,1,Merced,148,0,0.048490393,0.090181058,0.117048346,0.434013605,0.521276596,,,,,,,,,,,,,,,,,,,,,,,,,,
Mono,5/14/2017,1,Alpine,246,0,1,1,1,0.229931973,0.489361702,,,,,,,,,,,,,,,,,,,,,,,,,,
Mariposa,5/15/2017,1,Merced,148,0,0.048490393,0.090181058,0.117048346,0.536054422,0.425531915,,,,,,,,,,,,,,,,,,,,,,,,,,
Modoc,5/15/2017,1,Modoc,90,0,0.077767612,0.092966574,0.124681934,0.276190476,0.553191489,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverside,5/16/2017,1,Riverside,208,0,0,0,0,0.586394558,0.404255319,,,,,,,,,,,,,,,,,,,,,,,,,,
Butte,5/17/2017,1,Butte,244,0,0.018298262,0.142061281,0.213740458,0.518367347,0.468085106,,,,,,,,,,,,,,,,,,,,,,,,,,
Lassen,5/17/2017,1,Lassen,57,0,0.032936871,0.091573816,0.187446989,0.291156463,0.446808511,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresno,5/18/2017,1,Fresno,205,0,0.020128088,0.033426184,0.050325134,0.585034014,0.180851064,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
San Diego,5/18/2017,1,San Diego,153,0,0.096065874,0.037952646,0.032513429,0.508843537,0.744680851,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Stanislaus,5/18/2017,1,Stanislaus,194,0,0.039341263,0.116991643,0.1642635,0.555102041,0.393617021,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinity,5/18/2017,1,Shasta,224,0,0.191216834,0.387883008,0.448119876,0.559183673,0.35106383,,,,,,,,,,,,,,,,,,,,,,,,,,
Plumas,5/19/2017,1,Lassen,57,0,0.031107045,0.091573816,0.165959853,0.428571429,0.393617021,,,,,,,,,,,,,,,,,,,,,,,,,,
Plumas,5/19/2017,1,Lassen,57,0,0.031107045,0.091573816,0.165959853,0.428571429,0.393617021,,,,,,,,,,,,,,,,,,,,,,,,,,
Siskiyou,5/19/2017,1,Siskiyou,225,0,0.066788655,0.09505571,0.141645462,0.469387755,0.489361702,,,,,,,,,,,,,,,,,,,,,,,,,,
Kern,5/20/2017,1,Kern,5,0,0.006404392,0.026462396,0.027141645,0.67755102,0.35106383,,,,,,,,,,,,,,,,,,,,,,,,,,
Kings,5/20/2017,1,Kings,15,0,0.045745654,0.033426184,0.035906135,0.689795918,0.287234043,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Tulare,5/20/2017,1,Tulare,86,0,0.012808783,0.066155989,0.081424936,0.697959184,0.372340426,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Tulare,5/20/2017,1,Tulare,169,0,0,0.028203343,0.044387899,0.689795918,0.29787234,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Yolo,5/21/2017,1,Yolo,196,0,0,0.086002786,0.171897088,0.776870748,0.276595745,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
San Diego,5/22/2017,1,San Diego,147,0,0.152790485,0.060236769,0.123268306,0.585034014,0.755319149,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Monterey,5/24/2017,1,Monterey,113,0,0.006404392,0.028551532,0.042126096,0.439455782,0.787234043,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Merced,5/25/2017,1,Merced,56,0,0,0.037604457,0.060503251,0.500680272,0.638297872,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
San Luis Obispo,5/25/2017,1,San Luis Obispo,163,0.020833333,0.06221409,0.079038997,0.14305909,0.402721088,0.787234043,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Fresno,5/28/2017,1,Fresno,205,0,0.008234218,0.013579387,0.027424371,0.673469388,0.372340426,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Kern,5/28/2017,1,Kern,5,0,0.006404392,0.015320334,0.022335312,0.642176871,0.542553191,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
San Luis Obispo,5/28/2017,1,San Luis Obispo,163,0,0.060384263,0.079038997,0.113090189,0.506122449,0.595744681,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Sonoma,5/28/2017,1,Sonoma,144,0,0.073193047,0.115947075,0.166525304,0.359183673,0.882978723,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Stanislaus,5/28/2017,1,Stanislaus,194,0,0.003659652,0.063370474,0.104042974,0.595918367,0.553191489,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Kern,5/29/2017,1,Kern,125,0,0.002744739,0.001044568,0.000848176,0.727891156,0.446808511,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
San Bernardino,5/29/2017,1,San Bernardino,199,0,0,0.003133705,0.011591744,0.417687075,-0.063829787,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Madera,5/31/2017,1,Madera,188,0.010416667,0.001829826,0.019846797,0.028272547,0.56462585,0.617021277,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Fresno,6/1/2017,1,Fresno,205,0,0.008234218,0.013579387,0.027424371,0.644897959,0.393617021,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Kern,6/1/2017,1,Kern,125,0,0.002744739,0.001044568,0.000848176,0.627210884,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Riverside,6/2/2017,1,Riverside,44,0,0.005489478,0.003481894,0.007068137,0.63537415,0.627659574,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Kern,6/3/2017,1,Kern,125,0,0.002744739,0.001044568,0.000848176,0.77414966,0.404255319,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Kern,6/3/2017,1,Kern,125,0,0.002744739,0.001044568,0.000848176,0.77414966,0.404255319,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
San Diego,6/3/2017,1,San Diego,153,0,0.096065874,0.036559889,0.032513429,0.583673469,0.734042553,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Kern,6/4/2017,1,Kern,146,0,0,0.002089136,0.020921685,0.727891156,0.35106383,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Madera,6/4/2017,1,Madera,188,0,0.001829826,0.019846797,0.024879842,0.672108844,0.319148936,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Riverside,6/4/2017,1,Riverside,44,0,0.005489478,0.003481894,0.00621996,0.634013605,0.659574468,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento,6/4/2017,1,Sacramento,131,0,0.017383349,0.157729805,0.183488832,0.616326531,0.446808511,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego,6/4/2017,1,San Diego,153,0,0.096065874,0.036559889,0.030817077,0.578231293,0.744680851,,,,,,,,,,,,,,,,,,,,,,,,,,
Mendocino,6/5/2017,1,Mendocino,106,0,0.030192132,0.161908078,0.202148714,0.557823129,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Plumas,6/5/2017,1,Lassen,57,0,0.026532479,0.068245125,0.0743568,0.534693878,0.265957447,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresno,6/6/2017,1,Fresno,190,0,0.009149131,0.01810585,0.032230704,0.763265306,0.180851064,,,,,,,,,,,,,,,,,,,,,,,,,,
