Counties (Location),FormattedDate,Wildfire_Probability,County (Actual Location),Stn Id,Norm Precip (in),Norm precip30 (in),Norm precip60 (in),Norm precip90 (in),Norm Avg Air Temp (F),Norm Avg Rel Hum (%),,,,,,,,,,,,,,,,,,,,,,,,,,
San Mateo,9/7/2013,1,Contra Costa,178,0,0,0,0,0.619047619,0.414893617,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Contra Costa,9/8/2013,1,Contra Costa,170,0,0,0,0,0.638095238,0.489361702,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Modoc,9/8/2013,1,Modoc,90,0,0.039341263,0.01810585,0.023466214,0.499319728,0.340425532,,,,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,9/9/2013,1,San Bernardino,192,0,0,0,0,0.544217687,0.340425532,,,,,,,,,,,,,,,,,,,,,,,,,,
Shasta,9/9/2013,1,Shasta,224,0,0,0,0.063613232,0.801360544,0.20212766,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego,9/11/2013,1,San Diego,147,0,0,0,0,0.572789116,-0.063829787,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,9/15/2013,1,Mendocino,85,0,0,0,0.001130902,0.531972789,0.617021277,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,9/23/2013,1,Los Angeles,159,0,0,0,0,0.659863946,0.319148936,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresno,9/24/2013,1,Fresno,142,0,0.014638609,0.00591922,0.02374894,0.619047619,0.372340426,,,,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,9/24/2013,1,San Bernardino,192,0,0,0,0,0.434013605,0.212765957,,,,,,,,,,,,,,,,,,,,,,,,,,
Mendocino,9/28/2013,1,Mendocino,106,0,0,0,0,0.480272109,0.542553191,,,,,,,,,,,,,,,,,,,,,,,,,,
Butte,10/4/2013,1,Butte,12,0,0.089661482,0.034122563,0.027707096,0.556462585,0.223404255,,,,,,,,,,,,,,,,,,,,,,,,,,
Napa,10/4/2013,1,Napa,77,0,0,0,0,0.619047619,0.117021277,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonoma,10/4/2013,1,Sonoma,158,0,0,0,0,0.567346939,0.191489362,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange,10/5/2013,1,Orange,75,0,0.020128088,0.007660167,0.00876449,0.725170068,0.042553191,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego,10/6/2013,1,San Diego,153,0,0,0,0.001130902,0.551020408,0.255319149,,,,,,,,,,,,,,,,,,,,,,,,,,
Yolo,11/4/2013,1,Yolo,196,0,0.003659652,0.001392758,0.001130902,0.502040816,0.20212766,,,,,,,,,,,,,,,,,,,,,,,,,,
Shasta,11/7/2013,1,Shasta,224,0,0.010064044,0.037256267,0.030251626,0.402721088,0.510638298,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,11/8/2013,1,Sonoma,103,0,0.001829826,0.000696379,0.000565451,0.357823129,0.670212766,,,,,,,,,,,,,,,,,,,,,,,,,,
San Luis Obispo,11/8/2013,1,San Luis Obispo,163,0,0,0,0,0.353741497,0.436170213,,,,,,,,,,,,,,,,,,,,,,,,,,
Ventura,11/14/2013,1,Ventura,198,0,0,0,0,0.515646259,0.553191489,,,,,,,,,,,,,,,,,,,,,,,,,,
Napa,11/21/2013,1,Napa,77,0,0.102470265,0.038997214,0.031665253,0.42585034,0.35106383,,,,,,,,,,,,,,,,,,,,,,,,,,
Mendocino,11/22/2013,1,Mendocino,85,0,0.008234218,0.003133705,0.003392706,0.499319728,0.053191489,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonoma,11/22/2013,1,Sonoma,103,0,0.117108875,0.044568245,0.036188861,0.54829932,0.053191489,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,11/23/2013,1,Mendocino,85,0,0.008234218,0.003133705,0.003392706,0.438095238,0.159574468,,,,,,,,,,,,,,,,,,,,,,,,,,
