Counties (Location),FormattedDate,Latitude,Longitude,Started (Date),CountyIds (might not need this one),Wildfire_Probability,AcresBurned,,,,,,,,
Riverside,7/19/2013,33.9634,-117.2508,2013-07-19T16:21:00Z,33,,40,,,,,,,,
Kern,7/19/2013,34.882,-118.9194,2013-07-19T12:00:00Z,15,,712,,,,,,,,
Mendocino,7/22/2013,38.980846,-123.067671,2013-07-22T12:34:00Z,23,,45,,,,,,,,
Calaveras,7/23/2013,37.965364,-120.696362,2013-07-23T13:29:00Z,5,,31,,,,,,,,
Kern,7/23/2013,34.90327,-118.93388,2013-07-23T09:15:00Z,15,,612,,,,,,,,
Sonoma,7/26/2013,38.17693,-122.51253,2013-07-26T13:45:00Z,49,,158,,,,,,,,
San Bernardino,7/25/2013,34.316,-117.352,2013-07-25T15:09:00Z,36,,75,,,,,,,,
San Diego,7/28/2013,32.612773,-116.707335,2013-07-28T09:43:00Z,37,,25,,,,,,,,
Riverside,7/15/2013,33.7095,-116.72885,2013-07-15T13:43:00Z,33,,27531,,,,,,,,
Siskiyou,7/31/2013,0,0,2013-07-31T15:25:00Z,47,,40,,,,,,,,
Humboldt,8/3/2013,41.333,-123.376,2013-08-03T08:00:00Z,12,,0,,,,,,,,
Butte,8/1/2013,39.6612,-121.50354,2013-08-01T16:01:00Z,4,,92,,,,,,,,
Riverside,8/4/2013,33.91027,-116.99895,2013-08-04T16:29:00Z,33,,60,,,,,,,,
Shasta,8/4/2013,0,0,2013-08-04T18:00:00Z,45,,34,,,,,,,,
Lake,8/7/2013,39.1591,-122.5906,2013-08-07T12:35:00Z,17,,38,,,,,,,,
Riverside,8/6/2013,38.838,-116.61,2013-08-06T13:39:00Z,33,,60,,,,,,,,
Riverside,8/5/2013,33.62236,-117.40288,2013-08-05T10:10:00Z,"33,",,1383,,,,,,,,
Los Angeles,8/9/2013,0,0,2013-08-09T17:15:00Z,19,,100,,,,,,,,
Riverside,8/9/2013,33.86157,-116.90427,2013-08-09T15:51:00Z,33,,20292,,,,,,,,
Humboldt,8/10/2013,41.035,-123.488,2013-08-10T11:40:00Z,12,,12503,,,,,,,,
Lassen,8/7/2013,40.88886,-120.958126,2013-08-07T14:05:00Z,18,,97,,,,,,,,
San Bernardino,8/8/2013,34.35,-117.62,2013-08-08T12:15:00Z,36,,243,,,,,,,,
Tuolumne,8/5/2013,38.25108,-120.02778,2013-08-05T06:00:00Z,55,,1070,,,,,,,,
Shasta,8/14/2013,40.473356,-122.48259,2013-08-14T15:37:00Z,45,,27,,,,,,,,
Siskiyou,8/15/2013,41.923323,-122.578393,2013-08-15T14:40:00Z,47,,50,,,,,,,,
El Dorado,8/16/2013,38.682378,-120.839075,2013-08-16T13:55:00Z,9,,116,,,,,,,,
Riverside,8/16/2013,33.570291,-116.10815,2013-08-16T13:31:00Z,33,,40,,,,,,,,
San Bernardino,8/16/2013,34.287,-117.451,2013-08-16T17:57:00Z,36,,110,,,,,,,,
Lake,8/17/2013,39.013682,-122.491894,2013-08-17T17:25:00Z,17,,70,,,,,,,,
Calaveras,8/17/2013,38.06231,-120.45233,2013-08-17T10:11:00Z,5,,46,,,,,,,,
San Bernardino,8/20/2013,34.302,-117.598,2013-08-20T13:32:00Z,36,,413,,,,,,,,
Butte,8/16/2013,39.446268,-121.38236,2013-08-16T16:37:00Z,4,,2462,,,,,,,,
Shasta,8/19/2013,40.5445,-121.3754,2013-08-19T17:48:00Z,45,,196,,,,,,,,
