Counties (Location),FormattedDate,Latitude,Longitude,Started (Date),CountyIds (might not need this one),Wildfire_Probability,AcresBurned
Trinity,7/3/2017,40.46836,-123.51619,2017-07-03T19:31:00Z,53,,148
Trinity,8/10/2018,40.60402,-122.9144,2018-08-10T16:57:00Z,53,,300
Trinity,9/8/2018,40.616251,-123.52019,2018-09-08T13:34:00Z,53,,1751
Humboldt,1/1/2019,40.61805556,-123.6755556,2019-01-01T14:14:00Z,12,,30
Trinity,11/15/2018,40.65428,-122.62357,2018-11-15T13:31:00Z,"45,53",,229651
Humboldt,4/19/2018,40.70258,-123.55012,2018-04-19T10:28:00Z,12,,0
Trinity,8/25/2015,40.724898,-122.96174,2015-08-25T14:08:00Z,53,,128
Trinity,8/24/2014,40.7412,-122.946,2014-08-24T16:36:00Z,53,,580
Trinity,4/30/2017,40.76025,-123.10003,2017-04-30T16:03:00Z,53,,21846
Trinity,8/27/2017,40.79902,-123.39253,2017-08-27T17:45:00Z,53,,32
Trinity,8/27/2017,40.804,-123.375,2017-08-27T14:51:00Z,53,,32
Humboldt,1/4/2014,40.884415,-123.773779,2014-01-04T12:00:00Z,12,,333
Humboldt,9/11/2017,40.88516,-123.96844,2017-09-11T10:00:00Z,12,,20
Humboldt,5/20/2018,40.888785,-124.001849,2018-05-20T13:07:00Z,12,,10
Trinity,6/28/2015,40.924,-123.168,2015-06-28T13:30:00Z,53,,1542
Trinity,11/8/2018,40.9425,-122.43,2018-11-08T11:25:00Z,"45,53",,63311
Humboldt,8/12/2016,40.9878,-123.77832,2016-08-12T17:23:00Z,12,,21
Humboldt,8/10/2017,41.02705,-123.63721,2017-08-10T14:32:00Z,12,,40
Humboldt,8/10/2013,41.035,-123.488,2013-08-10T11:40:00Z,12,,12503
Humboldt,9/26/2018,41.07944,-123.688056,2018-09-26T10:56:00Z,12,,3674
Humboldt,9/12/2014,41.134,-123.753,2014-09-12T15:00:00Z,12,,210
Trinity,9/7/2019,41.150392,-122.634108,2019-09-07T08:49:58Z,53,,280
Humboldt,6/10/2015,41.1513,-123.8292,2015-06-10T07:42:00Z,12,,20
Humboldt,8/22/2016,41.28486,-123.82268,2016-08-22T16:03:00Z,12,,599
Humboldt,7/24/2015,41.295667,-123.784067,2015-07-24T23:00:00Z,12,,158
Humboldt,8/3/2013,41.333,-123.376,2013-08-03T08:00:00Z,12,,0
Humboldt,6/3/2018,41.34453,-123.85404,2018-06-03T18:23:00Z,12,,16
Del Norte,6/22/2017,41.478,-123.506,2017-06-22T09:49:00Z,8,,319
Glenn,10/4/2019,41.70611111,-123.4375,2019-10-04T12:03:48Z,11,,63
Del Norte,8/30/2017,41.93323,-124.19629,2017-08-30T08:30:00Z,8,,28
Del Norte,8/8/2017,41.98128,-124.01168,2017-08-08T16:40:00Z,8,,40
State of Oregon,8/9/2019,42.033,-122.175,2019-08-09T23:08:25Z,61,,1301
Lake,9/2/2015,55.23,-122,2015-09-02T14:57:00Z,17,,673
Calaveras,6/20/2014,120.679019,38.178241,2014-06-20T15:27:00Z,5,,120
